pool_id_bech32,epoch_no,active_stake_ada,saturation_pct,block_cnt,delegator_cnt,margin_rate,fixed_cost_ada,pool_fees_ada,deleg_rewards_ada,member_rewards_ada,owner_member_rewards_ada,total_pool_rewards_ada,epoch_ros,owner_stake_ada,ticker,pool_group,entity_id,display_name,is_mpo,pledge_tag,category,declared_pledge_ada,health_tag_current,owner_stake_ratio,pool_class,is_private,operator_take_ada,effective_fixed_cost_ada,margin_take_ada,delegator_pot_ada,operator_take_pct,fixed_cost_pct_of_reward,margin_pct_of_reward,delegated_stake_ada,deleg_yield_per_epoch_pct,operator_total_income_ada,effective_tax_pct,eff_entity_id
pool1vx9tzlkgafernd9vpjpxkenutx2gncj4yn88fpq69823qlwcqrt,614,71602332.248472,93.11,73,12796,0.02,340.0,790.614771,22080.123774,22017.266828,62.856946,22870.738545,2.276286297,203301.672967,CRDNS,CRDNS,CRDNS,,True,Material pledge,multi_brand_fleet,200000.0,Healthy core,0.002839316354410208,hollow,False,790.614771,340.0,450.6147709,22080.123774,3.4568834296470246,1.486615744091617,1.9702676851181675,71399030.575505,0.030924962980624936,853.471717,3.4568834296470246,CRDNS
pool1m83drqwlugdt9jn7jkz8hx3pne53acfkd539d9cj8yr92dr4k9y,614,1683399.428997,2.19,3,124,0.01,340.0,345.994757,593.48091,586.109249,7.371661,939.475667,2.606546101,20909.599757,BKIND,,,,False,,,,,0.012421056700404325,hollow,False,345.994757,340.0,5.994756670000001,593.48091,36.828495846502854,36.19039980947159,0.6380960019052841,1662489.8292399999,0.03569831824302391,353.366418,36.828495846502854,pool1m83drqwlugdt9jn7jkz8hx3pne53acfkd539d9cj8yr92dr4k9y
pool1krznhwu3h5pu2stuslr53z5rme50t6384macsmylcnljwc7yjky,614,48872055.407444,63.55,45,829,0.01,170.0,309.300958,13790.794848,13729.300992,61.493856,14100.095806,2.080991963,217922.962716,LEAF,,,,False,,,,,0.004459050492130659,hollow,False,309.300958,170.0,139.30095806,13790.794848,2.1936089105748025,1.2056655666670015,0.9879433443333301,48654132.444728,0.02834454989751713,370.794814,2.1936089105748025,pool1krznhwu3h5pu2stuslr53z5rme50t6384macsmylcnljwc7yjky
pool1jhzf2mm6zdlhl6w89uhgx8nq8p6ykcc86qq58vjy0ejyxrrksfj,614,22485077.539713,29.24,28,668,0.03,340.0,592.950343,8178.727742,7941.113365,237.614377,8771.678085,2.690375338,653252.858992,LOVE,,,,False,,,,,0.029052728763698014,hollow,False,592.950343,340.0,252.95034255,8178.727741999999,6.759827905836789,3.8761112378418985,2.883716662864743,21831824.680721,0.03746241031892482,830.56472,6.759827905836789,pool1jhzf2mm6zdlhl6w89uhgx8nq8p6ykcc86qq58vjy0ejyxrrksfj
pool1df9rj4n0t3zlpak7xnh4ue6t3yh9zlw7a02w4l8askp77up25rt,614,2864398.536012,3.72,2,1031,0.02,300.0,306.53081,320.00969,299.12895,20.88074,626.5405,0.818842441,186902.58145,VEGAS,,,,False,,,,,0.06525020142979748,hollow,False,306.53081,300.0,6.530809999999999,320.00969,48.92434088458767,47.88198049447722,1.0423603901104557,2677495.954562,0.011951827208357033,327.41155,48.92434088458767,pool1df9rj4n0t3zlpak7xnh4ue6t3yh9zlw7a02w4l8askp77up25rt
pool1fh4sh2telea0tfdy39h0drx6uq566yt9gf24edpz7335sclx39z,614,4432441.637613,5.76,4,992,0.02,340.0,358.261751,894.825823,873.981914,20.843909,1253.087574,1.484493437,103248.38099,CANUK,HETZFIN,,,False,,,,,0.023293793676571067,hollow,False,358.261751,340.0,18.261751479999997,894.8258229999999,28.590320296321124,27.132979933292354,1.4573404013341527,4329193.256623,0.02066957444394643,379.10566,28.590320296321124,pool1fh4sh2telea0tfdy39h0drx6uq566yt9gf24edpz7335sclx39z
pool1wz27a9pvd2jat98s375lxaaj7qxy405km4vzp83wn5vtwp59kvh,614,5681022.287644,7.39,4,1961,0.0,500.0,500.0,752.535661,752.424219,0.111442,1252.535661,0.971619095,841.21294,BRADA,,,,False,,,,,0.0001480742192878921,hollow,False,500.0,500.0,0.0,752.5356609999999,39.91902311194955,39.91902311194955,0.0,5680181.074704,0.01324844491932355,500.111442,39.91902311194955,pool1wz27a9pvd2jat98s375lxaaj7qxy405km4vzp83wn5vtwp59kvh
pool1qwa8x4u4a2pff0xdv0haxpgk3tyrvl5adl2lpf3ztcftqruhea0,614,27147578.529694,35.3,22,2339,0.0,340.0,340.0,6553.532443,6503.682858,49.849585,6893.532443,1.777651534,206461.77435,ELITE,ELITE,ELITE,ELITE,True,Material pledge,community_branded_fleet,200000.0,Healthy core,0.007605163536931012,hollow,False,340.0,340.0,0.0,6553.532443,4.932159278444408,4.932159278444408,0.0,26941116.755344,0.024325392679574245,389.849585,4.932159278444408,ELITE
pool1gpz25s2aasmqnh9tg8a2rxmyxuvmj5s779htxk295e9ajnzjflc,614,1747952.426535,2.27,1,136,0.0,340.0,313.16463,0.0,,0.0,313.16463,0.0,61969.57328,MUGGY,,,,False,,,,,0.03545266583876283,hollow,False,313.16463,313.16463,0.0,0.0,100.0,100.0,0.0,1685982.8532550002,0.0,313.16463,100.0,pool1gpz25s2aasmqnh9tg8a2rxmyxuvmj5s779htxk295e9ajnzjflc
pool1jk25l2pejpdzq8vdjlxrr05th49v9tgd78fqrtxvuw3rumpfc6t,614,12960587.108739,16.85,9,2842,0.049,340.0,461.10135,2350.354768,2349.807392,0.547376,2811.456118,1.332507911,1144.767432,GROW,,,,False,,,,,8.832681902412523e-05,hollow,False,461.10135,340.0,121.10134978200001,2350.354768,16.400801956248067,12.09337744321144,4.30742450528264,12959442.341307,0.018136233844788723,461.648726,16.400801956248067,pool1jk25l2pejpdzq8vdjlxrr05th49v9tgd78fqrtxvuw3rumpfc6t
pool1xxhs2zw5xa4g54d5p62j46nlqzwp8jklqvuv2agjlapwjx9qkg9,614,14944301.993651,19.43,12,3210,0.015,340.0,390.315037,3304.020764,3291.35739,12.663374,3694.335801,1.626862921,0.0,SWIM,EMURGO,EMURGO,Emurgo,True,Zero pledge,declared_brand,0.0,Healthy core,0.0,hollow,False,390.315037,340.0,50.315037015,3304.0207640000003,10.56522898904717,9.20327816188142,1.3619508275717787,14944301.993651,0.022108899869687417,402.978411,10.56522898904717,EMURGO
pool16kus5xvdysgmtjp0hhlwt72tsm0yn2zcn0a8wg9emc6c75lxvmc,614,31625833.650899,41.12,36,5452,0.01,340.0,449.33528,10824.192693,10823.840868,0.351825,11273.527973,2.529518347,1027.79353,EDEN,EDEN,EDEN,EDEN,True,Low pledge,opaque_fleet,1000.0,Healthy core,3.2498543480158466e-05,hollow,False,449.33528,340.0,109.33527973000001,10824.192693,3.9857556665149905,3.015914812242423,0.9698408518775758,31624805.857369002,0.03422690637791795,449.68710500000003,3.9857556665149905,EDEN
pool1ld9hkah2dkzh73pvh9tf6xr0x28us34msv3zcv2sase5vhvq962,614,13970108.453828,18.17,19,1972,0.008,340.0,384.948694,5573.63808,5404.383969,169.254111,5958.586774,2.954701839,848386.1919219999,,KOPI,,,False,,,,,0.060728676139198516,hollow,False,384.948694,340.0,44.948694192000005,5573.638080000001,6.460402585386599,5.706050996581492,0.7543515920273481,13121722.261906,0.04247642168270067,554.202805,6.460402585386599,pool1ld9hkah2dkzh73pvh9tf6xr0x28us34msv3zcv2sase5vhvq962
pool16fyda57p3c8gp5r6gmcq5tvqsp6mnzwvkxswgznkuh8wztrp6vv,614,43439326.036351,56.49,33,7582,0.02,340.0,539.429358,9772.038524,9747.736704,24.30182,10311.467882,1.655566265,105383.056605,HRMS,HRMS,HRMS,HRMS,True,Material pledge,community_branded_fleet,100000.0,Healthy core,0.0024259827723112715,hollow,False,539.429358,340.0,199.42935764000003,9772.038524000001,5.231353713874662,3.2972997044728607,1.9340540059105429,43333942.97974601,0.02255054087408429,563.731178,5.231353713874662,HRMS
pool190a9js7lk9lvmrngre7w268z9tz9xs9yz77audvw8ag4jerfdhx,614,2031898.328133,2.64,4,145,0.03,340.0,367.384861,885.443843,828.748451,56.695392,1252.828704,3.231557167,130051.365281,307,,,,False,,,,,0.06400485864885624,hollow,False,367.384861,340.0,27.38486112,885.443843,29.32442877681704,27.13858637772718,2.1858424086681842,1901846.962852,0.046557050083156686,424.08025299999997,29.32442877681704,pool190a9js7lk9lvmrngre7w268z9tz9xs9yz77audvw8ag4jerfdhx
pool1qqqyv9pn9typyqwcxqk5ewpxy5p27g5j2ms58hpp2c2kuzs5z77,614,26516830.888242,34.48,32,3785,0.025,170.0,416.326146,9606.719713,9568.087317,38.632396,10023.045859,2.679490414,106634.451016,ANGEL,ANGEL,,,False,,,,,0.004021387452573885,hollow,False,416.326146,170.0,246.326146475,9606.719713,4.153688927065699,1.6960912121074632,2.4575977196973136,26410196.437225997,0.0363750407378986,454.95854199999997,4.153688927065699,pool1qqqyv9pn9typyqwcxqk5ewpxy5p27g5j2ms58hpp2c2kuzs5z77
pool1vxz0deezj5c2950e7arpzfqxzq8zd9kawsullrzjw5rsq0yhxgr,614,31529575.966936,41.0,29,222,0.05,340.0,777.159559,8306.031628,8292.376235,13.655393,9083.191187,1.941436441,51835.65493,ZZZ,YUTA,YUTA,YUTA,True,Low pledge,opaque_operational,50000.0,Healthy core,0.0016440327324528023,hollow,False,777.159559,340.0,437.15955935000005,8306.031628,8.556018947528953,3.743177843560236,4.812841107821988,31477740.312006,0.026387000927229766,790.814952,8.556018947528953,YUTA
