epoch_no,pool_count,total_rewards_ada,total_operator_take_ada,total_fixed_cost_ada,total_margin_take_ada,total_delegator_pot_ada,total_active_stake_ada,mean_margin_rate,median_margin_rate,stake_weighted_margin,operator_take_pct,fixed_cost_share_pct,margin_share_pct,delegator_pot_pct,hollow_pool_count,hollow_total_rewards_ada,hollow_total_operator_take_ada,hollow_total_fixed_cost_ada,hollow_total_margin_take_ada,hollow_total_delegator_pot_ada,hollow_total_active_stake_ada,hollow_mean_margin_rate,hollow_median_margin_rate,hollow_stake_weighted_margin,hollow_operator_take_pct,hollow_fixed_cost_share_pct,hollow_margin_share_pct,hollow_delegator_pot_pct,balanced_pool_count,balanced_total_rewards_ada,balanced_total_operator_take_ada,balanced_total_fixed_cost_ada,balanced_total_margin_take_ada,balanced_total_delegator_pot_ada,balanced_total_active_stake_ada,balanced_mean_margin_rate,balanced_median_margin_rate,balanced_stake_weighted_margin,balanced_operator_take_pct,balanced_fixed_cost_share_pct,balanced_margin_share_pct,balanced_delegator_pot_pct,priv_pool_count,priv_total_rewards_ada,priv_total_operator_take_ada,priv_total_fixed_cost_ada,priv_total_margin_take_ada,priv_total_delegator_pot_ada,priv_total_active_stake_ada,priv_mean_margin_rate,priv_median_margin_rate,priv_stake_weighted_margin,priv_operator_take_pct,priv_fixed_cost_share_pct,priv_margin_share_pct,priv_delegator_pot_pct
211,242,7230950.465696,380302.149118,83554.0,301949.45441576856,6850648.316578,9504686141.71009,0.03207710743801653,0.02,0.04235586929548526,5.259365984073227,1.1555050805061446,4.175792046263244,94.74063401592677,206,7077072.953272,363526.097795,71099.0,297628.4030921273,6713546.855477,9305608148.65009,0.03317359223300971,0.02,0.042616475132748334,5.1366730312837605,1.0046385061938385,4.205529673881945,94.86332696871624,36,153877.512424,16776.051323,12455.0,4321.0513236413,137101.461101,199077993.06,0.02580277777777778,0.024,0.030174232513110532,10.902211154008407,8.09410017344251,2.8081109809826597,89.0977888459916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,328,8907421.684209,476558.176641,113395.0,368618.1898466422,8430863.507568,11582048877.481436,0.030669908536585366,0.02,0.041787996351696215,5.350124800825791,1.2730395396125198,4.138326475551565,94.6498751991742,267,8662264.726734,450352.33166,92320.0,363118.5672129836,8211912.395074,11262738703.730665,0.031564531835205994,0.02,0.04227159597871572,5.199013720627767,1.0657720920843772,4.191958785238985,94.80098627937224,61,245156.957475,26205.844981000002,21075.0,5499.6226336586005,218951.112494,319310173.750771,0.02675409836065574,0.025,0.024730424485560332,10.68941516117174,8.596533509414732,2.243306773873398,89.31058483882826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,341,9453988.242918,511833.494342,117764.0,400074.3958197742,8942154.748576,12260975389.6777,0.02959480938416422,0.02,0.04168023225272818,5.4139425731295505,1.2456541829128804,4.2318055146670055,94.58605742687045,276,9139703.928919,482018.970115,95429.0,392594.8715938663,8657684.958804,11931770904.711283,0.031145869565217393,0.02,0.042205632590653006,5.273901363367367,1.0441147847038288,4.295487847824634,94.72609863663263,65,314284.313999,29814.524227,22335.0,7479.5242259078705,284469.789772,329204484.966418,0.023008769230769232,0.02,0.02263748905918913,9.486481793391338,7.106622572347364,2.3798592206964773,90.51351820660865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,350,10025583.986398,530019.397198,121264.0,409626.0184113243,9495564.5892,12942806909.314655,0.02955757142857143,0.02,0.041987098604132606,5.286668566310877,1.209545500436906,4.085807060886187,94.71333143368912,282,9723836.059408,500053.665155,97434.0,403490.2863660127,9223782.394253,12585147593.898708,0.03157145390070922,0.02,0.042542137513294886,5.142555490445444,1.002011957058148,4.149497008185653,94.85744450955457,68,301747.92699,29965.732043,23830.0,6135.7320453116,271782.194947,357659315.415947,0.021205882352941175,0.02,0.02245665079784443,9.930716787987436,7.897320202895622,2.0333965858578837,90.06928321201256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,354,10518334.290094,545270.706184,122609.0,422661.7061955313,9973063.58391,13545103552.260906,0.030713700564971753,0.02,0.04149783691095451,5.184002439412174,1.1656693599809924,4.018333079540811,94.81599756058783,275,10155035.081789,510560.605047,95034.0,415526.6050568804,9644474.476742,13188700961.258265,0.03302938181818182,0.02,0.042015674925664076,5.027659687385887,0.9358313313011025,4.09182835618208,94.97234031261411,78,359575.193659,34234.740551,27235.0,6999.74055281088,325340.453108,353490203.283081,0.022430384615384616,0.02,0.02218966831912231,9.520884965014083,7.574215485462013,1.9466694800556856,90.47911503498592,1.0,3724.014646,475.360586,340.0,135.36058584,3248.65406,2912387.719561,0.04,0.04,0.04,12.764734599274183,9.129931869768484,3.6348027252092603,87.23526540072581
216,341,10692953.125259,546972.286645,117394.0,430288.6733790245,10145980.838614,14069028526.542068,0.03025712609970675,0.02,0.04095625422247049,5.1152593697707,1.0978632247315359,4.024039648715866,94.88474063022929,268,10390217.957537,516010.130403,92179.0,424541.5171379022,9874207.827134,13719725917.377476,0.03256410447761194,0.02,0.041488751378250525,4.966307083372485,0.8871709946482299,4.08597316122654,95.03369291662752,72,300913.491292,30562.889185,24875.0,5687.889183922301,270350.602107,346490504.134378,0.021534722222222222,0.02,0.01987912265714543,10.156702862930937,8.266495428037102,1.8902074345356936,89.84329713706907,1.0,1821.67643,399.267057,340.0,59.2670572,1422.409373,2812105.030214,0.04,0.04,0.04,21.917561781265405,18.664126866921148,3.2534349253231545,78.0824382187346
217,349,10988977.716243,561429.779021,120040.0,442280.4555261249,10427547.937222,14454686990.399776,0.02979765042979943,0.02,0.04055921958864925,5.109026458313232,1.0923673074936422,4.02476433155727,94.89097354168676,271,10625855.339138,526973.535292,93180.0,434684.21179858776,10098881.803846,14068817707.269993,0.03173977859778598,0.02,0.04107820133213595,4.959351680151423,0.8769176412254738,4.09081620184988,95.04064831984859,76,359640.974692,33650.32898,26180.0,7470.3289790012,325990.645712,381291660.981046,0.022473684210526316,0.02,0.021370788653589268,9.356644917564932,7.279481995181667,2.077162922105542,90.64335508243508,2.0,3481.402413,805.914749,680.0,125.91474853599999,2675.487664,4577622.148737,0.044950000000000004,0.044950000000000004,0.04382055480770923,23.149140874683482,19.532358496127696,3.6167823652278255,76.85085912531653
218,342,10840580.436296,543550.983016,117079.0,426927.9628887447,10297029.45328,14643918861.00517,0.03016982456140351,0.02,0.040240054732039315,5.014039480728396,1.0800067458380804,3.938238966055005,94.9859605192716,270,10497932.11135,512644.110934,92259.0,420841.0908047964,9985288.000416,14260303399.561172,0.03285585185185186,0.02,0.040853669003821425,4.883286589172614,0.878830221241884,4.008799888787598,95.11671341082739,69,329435.045233,29307.488192,23800.0,5507.4881947431995,300127.557041,375392666.653314,0.018943478260869565,0.0199,0.01679242453845095,8.896287330715422,7.2244894234512715,1.6717979080968484,91.10371266928458,3.0,13213.279713,1599.38389,1020.0,579.3838892051,11613.895822999999,8222794.790683,0.04663333333333333,0.0499,0.046532652379855814,12.104367157432023,7.7195066036213875,4.384860547794717,87.89563284256798
219,346,11237924.056263,556397.395194,118685.0,438634.49982118275,10681526.661069,14841356687.832487,0.02888222543352601,0.02,0.03989003868204699,4.95106918687455,1.056111425969779,3.903163054182838,95.04893081312545,270,10855974.84393,524612.212529,92390.0,433144.31715461065,10331362.631401,14469429723.244076,0.03215325925925926,0.02,0.04050828015267238,4.832474467480285,0.8510520826387034,3.989916367545735,95.16752553251972,73,375466.624525,30536.880171,25275.0,5261.88017325208,344929.74435399997,366044536.298274,0.016395479452054797,0.015,0.015455047652119816,8.133047833381191,6.731623624862852,1.401424209118146,91.8669521666188,3.0,6482.587808,1248.302494,1020.0,228.30249332000002,5234.285314,5882428.290139,0.03833333333333334,0.04,0.039667927991963024,19.256237338729157,15.734457136720051,3.521780191519467,80.74376266127084
220,356,11486467.424761,572186.146961,122039.0,450737.90758221596,10914281.2778,15048866433.563522,0.029416516853932585,0.02,0.039795534643878284,4.981393546004904,1.0624589396120563,3.924077707394835,95.0186064539951,275,11138766.971215,538671.529442,94099.0,445163.29006929527,10600095.441773,14657519135.358099,0.03222356363636364,0.02,0.040409545101883264,4.8360068114724415,0.8447882987692652,3.9965221574317353,95.16399318852756,79,344629.686292,32774.848337,27260.0,5514.8483315707,311854.837955,387509555.090092,0.019756962025316457,0.02,0.016717165455738765,9.51016399360046,7.909939591478772,1.6002244005462851,90.48983600639954,2.0,3070.7672540000003,739.769182,680.0,59.76918135000001,2330.998072,3837743.1153309997,0.025,0.025,0.025000000000000005,24.090695282632446,22.144302832271894,1.9463924291932027,75.90930471736755
