pool_bech32,delegation_count,total_ada,median_ada,mean_ada,max_ada
pool15zrj43nldc357nas0g7glm09wqhtyexxs64skq52mtg6sdrsjzd,2,60.78,30.39,30.39,54.04
pool15zrkyr0f80hxlt4scv72tej8l8zwrcphmrega9wutqchjekceal,6960,38826663.32,30.61,5578.54,2106739.42
pool15zuu7g6030wsfafu6a80pf6z2w6ceu4aumu2d6neykgtcx650u2,2,4.05,2.02,2.02,4.05
pool15zvek3jke3z2uml5xeztl6wt56zuye5ne9caadz8mjn9ykyuu8n,7,25426.74,107.63,3632.39,23563.98
pool1620fkxluaftsvz5lge29tjur3flwa8wydpzqy0zd4cllxx2w3ma,1,18.62,18.62,18.62,18.62
pool162343gl83jtrskacz2cex7szf4yd5t77f5nd0e65fg78ztppuj9,177,184273.90,105.44,1041.10,39675.80
pool162szyrlrwes7qwy0za4ekufgyljfz0lac9t8h8svzale67n8vl4,1,496.72,496.72,496.72,496.72
pool163aacna7n8tgphz40prapjgkrkpvsfttaqt56yeg2psd2umnxqu,1,50.43,50.43,50.43,50.43
pool163q9zuwpt9wr8rruuhw2mz6w6em25mhtrv58f8nz9aywj7vzer7,1,9.49,9.49,9.49,9.49
pool1646vlaras0deljthqtfl9dpdw2xsna799l0kayyu9v44cql4ky0,1,2.93,2.93,2.93,2.93
pool164nml0s3vt20jd8uf0lwf5hjnt4vcan9sjmxr8huq7k2qswd8jq,1,0.00,0.00,0.00,0.00
pool164xvrnwxg0xwhkcm0fsnlzmtj3ptp5s7hne32k4dyv60x4utfje,24,42091072.49,8.88,1753794.69,37457719.97
pool1659knc82juzdqycvvwz0uzjsj5scxwewguhuzae93ed36xanxmz,6,1439705.92,176665.72,239950.99,690725.82
pool165cyssah9wcnkuqq339c9fam5wga3x7zl6kw4ktltq5x68tlu4w,3,1075.44,73.46,358.48,1000.00
pool165ljt7xrrpceutz5ppe96suuw0jcnrvhg0f5vu60df0r5mt0x0c,532,3642292.41,39.83,6846.41,1296998.02
pool165zu45p489lpuypt4fsuc5g8l9g9ha4dddlls84jlsp3k4vsw9p,9,4285303.80,7806.66,476144.87,1072109.11
pool166dkk9kx5y6ug9tnvh0dnvxhwt2yca3g5pd5jaqa8t39cgyqqlr,3468,48898866.86,138.63,14100.02,2108727.20
pool166fpvc9lelw8pdvc4n3xeqns5ktkkmzu4plaen999fwy2xytgce,1,1.26,1.26,1.26,1.26
pool1673d663ml4p0mtreukyfx5jt7ekk9pajsyyv6utzlakzj0y9v0w,10,28188.78,111.12,2818.88,23066.34
pool1675wjgy0ggtt2l23eeaj5ey5l02qj2ra48stvc7fyussslr0kq7,2,35.25,17.62,17.62,17.81
pool167n02n48l5hfgfu6e46xq8n3yefccm9dcnmefkmxuymhc8ncrjm,2,2689.50,1344.75,1344.75,2656.31
pool167qekemyleju9g7eugaguqxh5telvmmmrs3a7sp897f6za308hg,583,1505671.18,63.61,2582.63,307680.40
pool167zl76srpt5a2gthpsq0ye9z4fpray5vsh7xyzcn63hd5mnw7fa,569,9403770.03,73.69,16526.84,6191359.28
