eff_entity_id,display_name,n_pools,total_stake,total_owner_stake,total_rewards,total_op_take,total_deleg_pot,dominant_strategy,n_strategies,owner_ratio,op_take_pct
pool1nw42xqnaplxsx3fq4ytl4x4qqvhs7g5uymnm906pfvx5636fglw,,1,662237.634594,15068.598932,626.34077,170.0,456.34077,hollow,1,0.02275406613101678,27.141774596598587
pool1h8fnr4vlfcv9l4jlv9epalghy3zgjpye4wv85c4rafpvvfztsk7,,1,657527.622394,308023.907517,626.685413,340.0,286.68541300000004,balanced,1,0.4684577453879613,54.25369618424484
pool1y24nj4qdkg35nvvnfawukauggsxrxuy74876cplmxsee29w5axc,,1,647350.923621,150928.581787,313.279587,170.0,143.279587,balanced,1,0.23314801335691474,54.26462720662359
pool1jqw9cv37w0eewvdr36w2kacd2w9wh5uwm2y3vmc0fmdfc0ax26l,,1,645342.76161,85525.272176,313.238033,172.864761,140.373272,balanced,1,0.13252689464220796,55.18638951483903
pool18q7axjzcrs7pd2vpmcgh33p0r5cng2q0v6ldw5vtwuhl6ctgmeg,,1,640816.03227,16361.194574,313.156132,313.156132,0.0,hollow,1,0.02553181217399132,100.0
pool144m894gswuy3se407ma5870nkaw5ylykrak73gf4kpepj50ulfa,,1,616850.884061,10016.221553000001,313.164407,170.0,143.16440699999998,hollow,1,0.01623767074314431,54.28458541267111
pool1zsyqzr04g5pr3nv7vfk8ldc3uf0xljc8yftdsqpxxqpychpxj65,,1,613955.257369,70152.132723,626.374691,172.281873,454.09281799999997,balanced,1,0.11426261422310306,27.50460315134284
pool13mjxg33urh0xquvw33kjn85yw7j42uwqw0pvh8s6c67rszr7ssz,,1,608511.090436,83213.603967,313.187332,313.187332,0.0,balanced,1,0.13674952728861064,100.0
pool1z4f2vmmwckcm6c4fmhn3vmymhsg8gjukx5905g54hlhqs9kaht9,,1,607574.754077,53762.796659,313.208549,172.148128,141.060421,hollow,1,0.08848754214726055,54.96278072537542
pool1kdfznpenxa9wwcz8tweump45k5h78h8hl4slv78fdypsug9ypc6,,1,597830.845115,31735.511243,313.187299,313.187299,0.0,hollow,1,0.053084432665723845,100.0
pool1z724xxqgzf9a30eejsa4edznmv8hgy27ssxqfcpqz42sc6lfqwu,,1,567635.487552,19242.43882,313.164485,313.164485,0.0,hollow,1,0.03389928790919232,100.0
pool157e2zadjusu6esf9mmx37nf63ep2gazdeln5mh04ylpcvz59g5c,,1,563201.264961,264059.572069,313.310579,172.149659,141.16092,balanced,1,0.4688547212110494,54.94537067642392
pool1w2alpqttaulpukcrz0j902kk8wmq68q9qm50c6npaypk7yypy5a,,1,543219.169416,40513.304806,313.15492,313.15492,0.0,hollow,1,0.07458003525456353,100.0
pool1lzupr43772kfux007sdt02vlx7uzmfcplrwmxntdztxmwv9myrj,,1,538382.215946,142030.963176,313.21478,313.21478,0.0,balanced,1,0.26381065155808525,100.0
pool1h0prd5vcdv6uk7hglztdcqfp5czjqxdydxkxkdhg8rrk22mr4ym,,1,530642.968512,3969.938287,313.153683,170.0,143.153683,hollow,1,0.007481373583696555,54.286444397334456
pool12ndf7w5f4fdn746s5zlay4aexvcsjncnnmjwfp8falascjqav3y,,1,520685.94664,38691.732596,313.156107,174.497249,138.658858,hollow,1,0.07430915477108373,55.722128708158955
pool1gsrcrjm6ctkquef6m8jsyvplv0j357hupn92uklqdcm7729ytv6,,1,519512.414201,16100.898719,313.152486,313.152486,0.0,hollow,1,0.03099232718772057,100.0
pool12hhrd4azpps5jxppcqs2pgtylatg7xkhaqmnetgv2988k3t4drf,,1,509165.243467,500.0,313.153096,313.153096,0.0,hollow,1,0.0009819994715181417,100.0
pool1fr8ug253hlv0pt4sxu3w20r03pnpkh2wpedegp55t8nsx28rkma,,1,507194.806655,10312.47348,313.164386,171.431644,141.73274199999997,hollow,1,0.020332371989397496,54.74174320703249
pool126f65lklaqw39jgx9wl8klqtx99evewxk0x5yc2jzzp5wfs8fde,,1,504773.265837,151477.13185799998,313.263779,313.263779,0.0,balanced,1,0.3000894502739267,100.0
pool1t50sl2erwfaey5du4e7gnp52fylplh5q4j24zkkxk9t5vsxfcvm,,1,497281.022517,7432.694688,313.152485,313.152485,0.0,hollow,1,0.014946668687212785,100.0
pool155x3l57d4xu52t93f9r55cqaysej4pc2dl3jkc9d6w5ckyu6u7n,,1,496266.803495,27987.69355,313.158531,313.158531,0.0,hollow,1,0.05639646527411133,100.0
pool18rpw5dwfywfrzjuy7uzn2cetrw9v85aan8a80p3fdvtqcxykkqu,,1,474779.535047,50822.911378,626.414236,183.236013,443.17822299999995,balanced,1,0.10704528655172314,29.251572277485728
pool1kjd9ff9u5ytq4atavv2dfsg3pvxqw8d50642pzmpn386zel0ka8,,1,473742.017979,101328.340166,313.249671,173.581242,139.66842899999997,balanced,1,0.21388928218415212,55.41306442425602
pool1upx7l0yrsxt4l94t5xfckahj6m7pt5dpmnx6u60sjxmn5p5mezs,,1,467433.395203,2038.657778,313.152559,170.0,143.152559,hollow,1,0.0043613866679650445,54.286639247932825
pool1dj4l8qma9zzqqzhsawdkvxrs7qyqyv70kn56ywdqqazscvcqvva,,1,453636.012641,51477.7189,313.206857,313.206857,0.0,balanced,1,0.1134780252570878,100.0
pool1l8pvaam6f2wj2ank46uywp32wwapqga8e8utve3mgzzuxksc3tq,,1,447808.032741,71292.630494,313.224688,313.224688,0.0,balanced,1,0.1592035543838351,100.0
pool1ferfwtmcjm9rxc00ugtdwrm9m042jf4xjvse6a8u5smxqt0pwnx,,1,435089.288191,51714.06505,313.206537,172.864131,140.34240600000004,balanced,1,0.11885851123803816,55.191737904244306
pool1dgmuwu0txducah4pes4e2avlcv98wedml33kdz7ujtrrxk8xv9y,,1,428055.466503,251359.414541,626.560949,343.725292,282.835657,balanced,1,0.5872122521748905,54.859035270006906
