entity_id,display_name,category,pool_id_bech32,ticker,current_active_stake_ada,endpoint_kind,endpoint_value,ip,ptr,asn,as_name,country,physical_country,provider,tier,region
SPO:pool1l5kwfudnq,ADOPT,single_pool,pool1l5kwfudnqrhw3k4lwzcppu36nun9puvvr7xnanuz8a2zx4jaek5,ADOPT,2171079.629399,dns,adopt.adafrog.io,86.48.26.178,vmi1369598.contaboserver.net,40021,"CONTABO-40021 - Contabo Inc., US",DE,DE,Contabo,commodity-vps,contabo:orangeburg
SPO:pool1l5kwfudnq,ADOPT,single_pool,pool1l5kwfudnqrhw3k4lwzcppu36nun9puvvr7xnanuz8a2zx4jaek5,ADOPT,2171079.629399,dns,adopt.adafrog.io,156.67.25.80,vmi2965618.contaboserver.net,51167,"CONTABO, DE",DE,DE,Contabo,commodity-vps,contabo:lauterbourg
SPO:pool1l5kwfudnq,ADOPT,single_pool,pool1l5kwfudnqrhw3k4lwzcppu36nun9puvvr7xnanuz8a2zx4jaek5,ADOPT,2171079.629399,dns,adopt.adafrog.io,173.212.246.6,vmi1372092.contaboserver.net,51167,"CONTABO, DE",DE,DE,Contabo,commodity-vps,contabo:lauterbourg
SPO:pool1qu48wpwwa,OBS,single_pool,pool1qu48wpwwarmkewhlwge9xs87sgt8gdnqq26nnre2v6c8up4fxwr,OBS,5606012.901834,dns,relay1.ouroboros.mobi,54.255.19.129,ec2-54-255-19-129.ap-southeast-1.compute.amazonaws.com,16509,"AMAZON-02 - Amazon.com, Inc., US",US,SG,AWS,hyperscaler,aws:ap-southeast-1
SPO:pool1qu48wpwwa,OBS,single_pool,pool1qu48wpwwarmkewhlwge9xs87sgt8gdnqq26nnre2v6c8up4fxwr,OBS,5606012.901834,dns,relay2.ouroboros.mobi,54.151.208.22,ec2-54-151-208-22.ap-southeast-1.compute.amazonaws.com,16509,"AMAZON-02 - Amazon.com, Inc., US",US,SG,AWS,hyperscaler,aws:ap-southeast-1
SPO:pool1qgsylc6kj,TURBO,single_pool,pool1qgsylc6kjv29zva4w783fuyf9xxhj78ktgjlxjvppest5ya9pek,TURBO,47703.514949,dns,relay.turbocookie.com,103.100.227.132,,136972,"GIGAFY-AS-AP Gigafy, AU",AU,AU,Other / on-prem,other-or-onprem,cc:AU
SPO:pool1qgsylc6kj,TURBO,single_pool,pool1qgsylc6kjv29zva4w783fuyf9xxhj78ktgjlxjvppest5ya9pek,TURBO,47703.514949,dns,relay2.turbocookie.com,,,,,,,Unresolved,unresolved,cc:??
SPO:pool1qgsylc6kj,TURBO,single_pool,pool1qgsylc6kjv29zva4w783fuyf9xxhj78ktgjlxjvppest5ya9pek,TURBO,47703.514949,dns,relay3.turbocookie.com,,,,,,,Unresolved,unresolved,cc:??
SPO:pool173f5kzeuz,pool173f5kzeuz,single_pool,pool173f5kzeuz485kshvga3t7un8u699w2rgn77apjx078xd73kzj6y,,347.620334,ip,34.204.234.130,34.204.234.130,ec2-34-204-234-130.compute-1.amazonaws.com,14618,"AMAZON-AES - Amazon.com, Inc., US",US,US,AWS,hyperscaler,cc:US
SPO:pool10p7hdyghm,SBPIO,single_pool,pool10p7hdyghmkfuuxep4slslvjs2fk0hechqwadc2348e6g2x8hta6,SBPIO,360.524775,ip,34.86.27.17,34.86.27.17,17.27.86.34.bc.googleusercontent.com,396982,"GOOGLE-CLOUD-PLATFORM - Google LLC, US",US,US,GCP,hyperscaler,gcp:us-east4
SPO:pool1h5xdez7j0,GOOD,single_pool,pool1h5xdez7j0ncewgxs4m8fykjt9jzuy86t8e0m7m7m2l79w4jzzk2,GOOD,203.250629,ip,111.111.111.11,111.111.111.11,,2516,"KDDI KDDI CORPORATION, JP",JP,JP,Other / on-prem,other-or-onprem,cc:JP
SPO:pool1kv53mzjwq,GRC1,single_pool,pool1kv53mzjwqjp4aw48rczj8vm6hejwfnfwa634czyx5tw5qq3tata,GRC1,801973.985633,ip,148.251.98.50,148.251.98.50,r1.netcount.gr,24940,"HETZNER-AS, DE",DE,DE,Hetzner,commodity-vps,hetzner:falkenstein
SPO:pool1kv53mzjwq,GRC1,single_pool,pool1kv53mzjwqjp4aw48rczj8vm6hejwfnfwa634czyx5tw5qq3tata,GRC1,801973.985633,ip,83.212.117.167,83.212.117.167,snf-475532.vm.okeanos.grnet.gr,5408,"GR-NET www.grnet.gr, GR",GR,GR,Other / on-prem,other-or-onprem,cc:GR
SPO:pool1kv53mzjwq,GRC1,single_pool,pool1kv53mzjwqjp4aw48rczj8vm6hejwfnfwa634czyx5tw5qq3tata,GRC1,801973.985633,ip,148.251.98.51,148.251.98.51,zeus.netcount.gr,24940,"HETZNER-AS, DE",DE,DE,Hetzner,commodity-vps,hetzner:falkenstein
SPO:pool1kv53mzjwq,GRC1,single_pool,pool1kv53mzjwqjp4aw48rczj8vm6hejwfnfwa634czyx5tw5qq3tata,GRC1,801973.985633,ip,148.251.98.52,148.251.98.52,core.netcount.gr,24940,"HETZNER-AS, DE",DE,DE,Hetzner,commodity-vps,hetzner:falkenstein
CNODE,CNODE,discovered_mpo,pool1qa6lqyu67ghpa0evxfu9nzqkj3h82qpfku82ec79zdwru4pd25m,CNODE,45991562.483255,dns,germany.cardanode.io,66.94.103.119,vmi1309425.contaboserver.net,40021,"CONTABO-40021 - Contabo Inc., US",US,US,Contabo,commodity-vps,contabo:orangeburg
CNODE,CNODE,discovered_mpo,pool1qa6lqyu67ghpa0evxfu9nzqkj3h82qpfku82ec79zdwru4pd25m,CNODE,45991562.483255,dns,missouri.cardanode.io,209.126.12.123,vmi471617.contaboserver.net,40021,"CONTABO-40021 - Contabo Inc., US",US,US,Contabo,commodity-vps,contabo:st_louis
CNODE,CNODE,discovered_mpo,pool1qa6lqyu67ghpa0evxfu9nzqkj3h82qpfku82ec79zdwru4pd25m,CNODE,45991562.483255,dns,la.cardanode.io,66.94.103.119,vmi1309425.contaboserver.net,40021,"CONTABO-40021 - Contabo Inc., US",US,US,Contabo,commodity-vps,contabo:orangeburg
CNODE,CNODE,discovered_mpo,pool1qa6lqyu67ghpa0evxfu9nzqkj3h82qpfku82ec79zdwru4pd25m,CNODE,45991562.483255,dns,perth.cardanode.io,66.94.103.119,vmi1309425.contaboserver.net,40021,"CONTABO-40021 - Contabo Inc., US",US,US,Contabo,commodity-vps,contabo:orangeburg
SPO:pool18qzks8vdf,one,single_pool,pool18qzks8vdf0yu0u5ccf8aaj35q6zfutdcfgrssuvdjmgtyykr922,one,125702.228144,dns,ding1.cr0ss0ver.com,142.188.63.76,,577,"BACOM - Bell Canada, CA",CA,CA,Other / on-prem,other-or-onprem,cc:CA
SPO:pool18qzks8vdf,one,single_pool,pool18qzks8vdf0yu0u5ccf8aaj35q6zfutdcfgrssuvdjmgtyykr922,one,125702.228144,dns,dong1.cr0ss0ver.com,142.188.63.76,,577,"BACOM - Bell Canada, CA",CA,CA,Other / on-prem,other-or-onprem,cc:CA
SPO:pool1j6dh3ynys,KIND,single_pool,pool1j6dh3ynys827j38976q0q3s3c9hpzgx40kjcq4472h6m7d3t0hm,KIND,3052200.377996,dns,relaynode1.kindstakepool.com,34.163.37.95,95.37.163.34.bc.googleusercontent.com,396982,"GOOGLE-CLOUD-PLATFORM - Google LLC, US",US,FR,GCP,hyperscaler,gcp:europe-west9
SPO:pool1j6dh3ynys,KIND,single_pool,pool1j6dh3ynys827j38976q0q3s3c9hpzgx40kjcq4472h6m7d3t0hm,KIND,3052200.377996,dns,relaynode2.kindstakepool.com,,,,,,,Unresolved,unresolved,cc:??
SPO:pool1t8dkgz58q,GYS,single_pool,pool1t8dkgz58qcqlak6nn5l5j4qqwvewwmjx85fxtsykk6w9j2e0ng2,GYS,313118.533733,dns,gys-relay1.growyourstake.com,104.168.174.247,hwsrv-786301.hostwindsdns.com,54290,"HOSTWINDS - Hostwinds LLC., US",US,US,Other / on-prem,other-or-onprem,cc:US
SPO:pool1t8dkgz58q,GYS,single_pool,pool1t8dkgz58qcqlak6nn5l5j4qqwvewwmjx85fxtsykk6w9j2e0ng2,GYS,313118.533733,dns,gys-relay2.growyourstake.com,104.168.204.201,hwsrv-845330.hostwindsdns.com,54290,"HOSTWINDS - Hostwinds LLC., US",US,US,Other / on-prem,other-or-onprem,cc:US
SPO:pool127xwsah7j,ARTZ,single_pool,pool127xwsah7jllutuhen8vl7sve5278h7hhxtnys3cl438dyhuwgjg,ARTZ,2717940.742857,dns,artzpool.com,104.34.36.137,syn-104-034-036-137.res.spectrum.com,20001,"TWC-20001-PACWEST - Charter Communications Inc, US",US,US,Other / on-prem,other-or-onprem,cc:US
SPO:pool18tdd78q5v,pool18tdd78q5v,single_pool,pool18tdd78q5vgr9qy2lun7m8srmnuc3h2mg6vqe66gezjh4glujje3,,0.0,ip,10.128.0.6,10.128.0.6,,,,,??,Other / on-prem,other-or-onprem,cc:??
SPO:pool1mzf0vc58p,MPN,single_pool,pool1mzf0vc58p7ktgs5gqzqrcwtrs4xnlpd5v9thzl7gahqj7f7aqye,MPN,786.245031,ip,34.90.151.65,34.90.151.65,65.151.90.34.bc.googleusercontent.com,396982,"GOOGLE-CLOUD-PLATFORM - Google LLC, US",US,NL,GCP,hyperscaler,gcp:europe-west4
SPO:pool1kllc67fn0,KEEN,single_pool,pool1kllc67fn00yqpffw8e9dqnlcaa733h9u5nwx97vhtjlw2t5e56j,KEEN,9.892022,dns,adarelay01-hz.keen.world,,,,,,,Unresolved,unresolved,cc:??
SPO:pool1kllc67fn0,KEEN,single_pool,pool1kllc67fn00yqpffw8e9dqnlcaa733h9u5nwx97vhtjlw2t5e56j,KEEN,9.892022,dns,adarelay02-hz.keen.world,,,,,,,Unresolved,unresolved,cc:??
SPO:pool1d0vm9y545,PLANT,single_pool,pool1d0vm9y545l3y2g9pamx45k4e498nllhd8wy4289vw8mt70am2r8,PLANT,327212.787101,dns,seed.plantacrypto.com,165.227.139.87,,14061,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",US,US,DigitalOcean,commodity-vps,cc:US
