entity_id,display_name,category,provider,stake_split_ada
BLOCKDAEMON,Blockdaemon,declared_brand,Unresolved,44791650
ATLAS,ATLAS,discovered_mpo,AWS,44253407
IBEX,IBEX,discovered_mpo,Other / on-prem,44159219
HRMS,HRMS,discovered_mpo,OVH,44017200
RAY,XRAY1,discovered_mpo,Contabo,42479595
WEP,ISP,discovered_mpo,Other / on-prem,41354514
SPO:pool1v5u6wzaku,MOKSH,single_pool,Other / on-prem,40565041
SUNNY,SUNNY,discovered_mpo,Hetzner,40516127
SPO:pool1ases3nklh,MIN,single_pool,Hetzner,40357577
DNEWS,DNEWS,discovered_mpo,Azure,38821982
KILN,Kiln,provider_cluster,Unresolved,38097679
ADASTRONG_COM,ADBV,discovered_mpo,Akamai/Linode,37991920
SASA,SASA,discovered_mpo,Other / on-prem,37203137
SASA,SASA,discovered_mpo,Contabo,37203137
SPO:pool1prc9hna2m,TERM,single_pool,Other / on-prem,35902450
SPO:pool1prc9hna2m,TERM,single_pool,Contabo,35902450
FIMI,FIDA,discovered_mpo,Unresolved,35293324
XSP,XSP,discovered_mpo,Other / on-prem,35246962
XSP,XSP,discovered_mpo,IONOS,35246962
4ADA,4ADA,discovered_mpo,Other / on-prem,35184355
SPO:pool15cy4p3axu,TECH,single_pool,Contabo,35124244
SPO:pool15cy4p3axu,TECH,single_pool,Other / on-prem,35124244
SPO:pool1xlfty06hg,SAKE,single_pool,AWS,34950236
SPO:pool1cmdq8atcy,MOMO,single_pool,Vultr / Choopa,33682049
KAIZN,KAIZN,discovered_mpo,OVH,33042178
SPO:pool1t6n7rysk6,DAVE,single_pool,IONOS,33025034
STRIXJPN_GITHUB_IO,PNR39,discovered_mpo,Other / on-prem,32616613
STRIXJPN_GITHUB_IO,PNR39,discovered_mpo,Contabo,32616613
SPO:pool1ddg6t2h9k,FAIR,single_pool,Other / on-prem,32137494
SPO:pool1ddg6t2h9k,FAIR,single_pool,Hetzner,32137494
NKR,NKR,discovered_mpo,Vultr / Choopa,31924876
LIQWID,LQWD,discovered_mpo,Other / on-prem,31824719
WAFFLEPOOL_ORG,nan,discovered_mpo,DigitalOcean,31769996
SPO:pool1c89d4drtw,CLIO1,single_pool,Other / on-prem,31493680
SPO:pool1gqgyta9sk,pool1gqgyta9sk,single_pool,OVH,30983199
LINKTR_EE,ADAOZ,discovered_mpo,Other / on-prem,30846680
LINKTR_EE,ADAOZ,discovered_mpo,Akamai/Linode,30525081
SPO:pool19f6guwy97,BERRY,single_pool,Other / on-prem,30386236
ELITE,ELITE,discovered_mpo,Other / on-prem,29403619
SPO:pool106sjgd9m4,pool106sjgd9m4,single_pool,Unresolved,28905562
SPO:pool1qqqqdktl6,STR8,single_pool,Other / on-prem,28262436
SPO:pool1qqqqdktl6,STR8,single_pool,Hetzner,28262436
SPO:pool1ft4xjlz9u,1LOVE,single_pool,HiVelocity,28229588
SPO:pool1ft4xjlz9u,1LOVE,single_pool,Other / on-prem,28229588
SPO:pool1rvjj8cp3u,DINO,single_pool,Hetzner,27712113
SPO:pool1qqqyv9pn9,ANGEL,single_pool,Hetzner,26718372
SPO:pool1j099ctc7k,PRIDE,single_pool,Other / on-prem,26630657
SPO:pool1c3ecg6h4m,COSMC,single_pool,AWS,26413068
SPO:pool1m06dl8dfc,BTCS,single_pool,GCP,26331939
SPO:pool1krznhwu3h,LEAF,single_pool,Hetzner,25041044
SPO:pool1krznhwu3h,LEAF,single_pool,OVH,25041044
SPO:pool1pjmqlsyny,RIZIN,single_pool,OVH,24749339
ECO,ECO,discovered_mpo,Other / on-prem,24432459
ECO,ECO,discovered_mpo,Hetzner,24432459
SPO:pool1d3gckjrph,CRFA,single_pool,Other / on-prem,24144247
SPO:pool1hnp560z9e,LCP,single_pool,Other / on-prem,22731234
SPO:pool1hnp560z9e,LCP,single_pool,Hetzner,22731234
SPO:pool1hnp560z9e,LCP,single_pool,OVH,22731234
SPO:pool1xru6f3ffl,OASIS,single_pool,DigitalOcean,22691161
SPO:pool1fs2m5rmlx,BIRD,single_pool,Other / on-prem,22613931
SPO:pool193uec04jl,0AAAA,single_pool,Other / on-prem,22561993
SPO:pool193uec04jl,0AAAA,single_pool,OVH,22561993
SPO:pool1jhzf2mm6z,LOVE,single_pool,Other / on-prem,22382153
SPO:pool16qr7dz5q4,YASP,single_pool,Hostinger,21508921
SPO:pool1eaeynp2hs,HODLR,single_pool,Other / on-prem,21368703
SPO:pool1qvudfuw9a,LGNS1,single_pool,Other / on-prem,20819067
SPO:pool1qvudfuw9a,LGNS1,single_pool,OVH,20819067
SPO:pool1zmfpd5r5v,ALPS,single_pool,IONOS,20539477
ZETIC,ZETE,discovered_mpo,OVH,20210641
KIWI,KIWI,discovered_mpo,Other / on-prem,20196710
KIWI,KIWI,discovered_mpo,Hetzner,20196710
ZETIC,ZETE,discovered_mpo,Other / on-prem,20097860
WEP,ISP,discovered_mpo,DigitalOcean,19814644
WEP,ISP,discovered_mpo,Contabo,19814644
MUEN,MUEN,discovered_mpo,Contabo,19084292
SPO:pool1w4g7j8u97,MIMIC,single_pool,Contabo,18846950
SPO:pool1zn9hjcmfd,PLUSH,single_pool,Unresolved,18835548
KTO,nan,discovered_mpo,AWS,18412128
SPO:pool1qvkdjemew,RANMA,single_pool,Other / on-prem,18389319
SPO:pool18zf8txwv8,Malu,single_pool,DigitalOcean,18265761
