ledger,date,clustering,entropy=1,entropy_percentage=1,gini,hhi,nakamoto_coefficient,theil_index,concentration_ratio=1,concentration_ratio=3,tau_index=0.33,tau_index=0.66,total_entities
cardano,2025-09-05,False,9.199837398243778,0.8952633342509929,0.6532149019484133,21.63339833435656,164,0.7620256457429467,0.00526079925179744,0.01340529587124681,98,251,1240
cardano,2025-10-05,False,9.161244756062313,0.9139534383189131,0.6614680371410718,22.125271763981115,161,0.788776026861365,0.005424161448570175,0.014597375663063853,96,244,1041
