epoch_no,unique_submitters,tx_count,total_fee_ada
402,88521,253864,81843.315874000000
403,92660,276814,89160.098747000000
404,81738,242851,81840.980787000000
405,102832,288208,95730.080127000000
406,101142,268036,89563.158021000000
407,96749,266509,89902.825527000000
408,93812,247207,81606.583481000000
409,91152,308718,112970.641738000000
410,103079,393568,144531.788134000000
411,90230,320430,113966.019030000000
412,93952,327949,117744.837387000000
413,107662,405070,149969.305714000000
414,116583,444338,164499.006117000000
415,138994,490273,178691.909769000000
416,128862,459276,169559.835776000000
417,109067,375738,134243.110070000000
418,89969,328689,120268.372942000000
419,96555,358311,128880.013669000000
420,96545,381428,141402.900482000000
421,99308,369999,135605.137798000000
422,100065,393560,146019.384340000000
423,111721,440283,158543.961356000000
424,95586,357976,126583.595594000000
425,95480,363198,132388.057408000000
426,89731,354148,126908.377168000000
427,81400,324427,111377.755881000000
428,72476,343684,123472.666660000000
429,64544,268374,95911.502104000000
430,70496,267744,92908.383223000000
431,61015,249407,85200.251438000000
432,59295,231353,81096.601264000000
433,66892,291722,97181.599871000000
434,58967,235503,80850.640036000000
435,62242,243515,80726.565041000000
436,57358,226919,76712.051292000000
437,60012,223934,75841.342949000000
438,70572,279913,94494.265027000000
439,68965,297109,104217.504420000000
440,69662,277367,95326.704362000000
441,64873,269273,94168.039957000000
442,64710,291448,102416.026622000000
443,62376,253478,89675.434107000000
444,82522,303107,104860.675153000000
445,72627,274087,95519.681541000000
446,84436,297377,103376.974891000000
447,88698,302829,104111.334647000000
448,78401,293835,102026.957711000000
449,75908,284057,97810.290193000000
450,76602,261868,89061.401822000000
451,78681,306235,100347.025883000000
452,95817,345563,121425.743292000000
453,129848,473615,169299.131726000000
454,112790,459281,166398.424201000000
455,97905,453454,164148.391587000000
456,96888,416022,146643.347671000000
457,99704,464626,165239.539583000000
458,100611,427089,150603.248974000000
459,93945,421387,149502.178144000000
460,93273,420768,149921.795091000000
461,82015,374017,130779.342061000000
462,75682,352162,125330.099819000000
463,75911,315429,110907.245455000000
464,84870,340234,116912.422703000000
465,85238,342914,117812.147465000000
466,86017,347241,121919.432526000000
467,93092,337319,115983.833237000000
468,89618,339236,116201.496061000000
469,110106,365139,121519.980918000000
470,130987,403952,133408.580939000000
471,112050,388963,136006.087043000000
472,110069,371308,123634.509077000000
473,91434,311957,105972.074454000000
474,78163,247259,83019.604600000000
475,85082,287074,98050.528642000000
476,83361,296447,102081.461302000000
477,76901,275822,94128.682735000000
478,73715,276916,98481.346800000000
479,69369,262660,88531.121892000000
480,64424,240963,84012.172874000000
481,60415,217547,75889.828347000000
482,66105,223524,75526.246011000000
483,60015,216815,75117.947461000000
484,53731,224270,78770.930119000000
485,65413,244981,83167.097183000000
486,75224,244729,81838.755765000000
487,56420,202648,68506.507251000000
488,70431,211969,69507.849957000000
489,88509,240957,79007.776775000000
490,70274,211484,70416.209324000000
491,61085,216630,72079.705835000000
492,64337,403855,142923.441716000000
493,65225,398226,141437.820728000000
494,65499,293756,97664.600823000000
495,55056,242938,82024.444572000000
496,64154,272484,89490.892177000000
497,62929,246173,78462.502268000000
498,57914,217778,67012.196188000000
499,56041,201669,62216.157710000000
500,57987,216886,67528.053731000000
501,56503,216520,68222.967808000000
502,49262,177945,55252.759780000000
503,45890,163965,50465.238805000000
504,48240,163553,50135.685073000000
505,51477,187207,57700.605861000000
506,52066,193373,59492.203551000000
507,77427,349397,116094.310914000000
508,57891,275085,93107.532403000000
509,52127,203346,69661.135669000000
510,49850,178413,132156.650545000000
511,53386,177834,65976.001813000000
512,55995,196397,68232.433058000000
513,46040,155526,52697.610335000000
514,51433,172108,58567.071839000000
515,53824,174897,59638.626715000000
516,58492,200786,65707.612499000000
517,50929,195379,69465.379538000000
518,54984,206251,72593.325622000000
519,51104,211528,72701.133032000000
520,107186,362224,125348.359030000000
521,123451,376080,126106.389542000000
522,136837,529151,180613.758365000000
523,175886,613398,200786.096558000000
524,115555,518431,178596.662776000000
525,169364,624145,211458.647448000000
526,120817,553866,190021.074276000000
527,97565,469514,158411.032771000000
528,93937,394232,132087.308893000000
529,67438,408033,113830.599860000000
530,64840,310115,103650.666676000000
531,80924,313591,107386.764248000000
532,73833,266633,92068.198245000000
533,66035,284715,97834.822698000000
534,94669,388506,135143.065318000000
535,82633,304984,102941.304846000000
536,73192,275701,93384.750236000000
537,78321,343437,117841.394966000000
538,57305,228593,76469.312907000000
539,57261,208373,67915.279673000000
540,56909,226056,76503.073588000000
541,55449,218271,74074.183501000000
542,57554,219645,73755.360046000000
543,95728,313588,99113.874767000000
544,59897,206166,66943.752902000000
545,51334,165083,63417.467271000000
546,43485,139396,53377.937268000000
547,51202,151359,54873.551989000000
548,44980,139625,53136.772606000000
549,44812,147850,56324.445971000000
550,48545,174358,67431.504009000000
551,42932,140488,53017.461145000000
552,40973,132481,50927.072843000000
553,46339,170385,64560.236707000000
554,47980,178635,68441.198106000000
555,45531,158950,59835.064481000000
556,51829,177849,66709.040539000000
557,68770,200198,71848.824176000000
558,48439,172848,65678.280212000000
559,55729,179408,65549.685494000000
560,50240,159524,58785.812262000000
561,45718,164677,62471.219138000000
562,42909,152205,57692.892585000000
563,47606,169718,64359.325919000000
564,41996,143408,55090.590473000000
565,41982,152083,58995.932473000000
566,44332,144965,54808.134305000000
567,46518,168672,63574.235309000000
568,40134,130770,42082.504265000000
569,60435,197266,63716.182250000000
570,72313,220818,68454.908159000000
571,67464,205775,63477.229627000000
572,51968,170031,53229.217424000000
573,54702,193803,61937.643084000000
574,55857,196073,62802.372716000000
575,63621,211687,66532.247801000000
576,83382,245317,75915.892399000000
577,54540,176663,55328.601600000000
578,51162,153372,47010.291572000000
579,48364,149791,46412.472884000000
580,49773,177067,58327.682843000000
581,51314,177472,57537.854339000000
582,56926,181836,57734.386029000000
583,52952,157928,48723.360631000000
584,48815,162382,51248.384697000000
585,46439,144745,44618.509705000000
586,54865,151826,45555.492079000000
587,52197,168428,54886.069365000000
588,47605,155278,49657.867107000000
589,43821,143078,46453.119234000000
590,44331,144612,46605.229614000000
591,49348,166389,51397.454507000000
592,51798,187191,60932.802982000000
593,43617,152713,47653.517462000000
594,42172,141790,44455.688444000000
595,46444,175629,57827.752720000000
596,39145,142892,48288.354577000000
597,40081,136228,41803.003800000000
598,42570,151371,47673.835280000000
599,48164,196418,65522.546433000000
600,49020,233095,82838.816735000000
601,50646,221414,76494.630069000000
602,49853,221788,77071.184121000000
603,44260,163321,54032.156910000000
604,48811,170795,53769.560843000000
605,42308,153207,50030.306787000000
606,36393,118453,38343.554507000000
607,35496,121153,39018.273269000000
608,36237,124736,40098.421924000000
609,37036,124639,40050.797135000000
610,47493,187728,64848.742443000000
611,47694,189187,64349.910572000000
612,40087,139138,44439.845470000000
613,33323,119712,37710.317796000000
614,32660,118981,38373.711261000000
615,37602,134210,42279.800991000000
616,32937,118058,36977.678045000000
617,28934,100464,31661.206813000000
618,32188,126117,41534.723039000000
619,32853,118539,37112.078113000000
620,31056,113057,36043.727992000000
621,34105,120358,38909.161729000000
622,35535,129608,41523.451663000000
623,30505,105851,32892.246911000000
