epoch_no,active_delegators,active_pools
574,1797579,5812
575,1798685,5813
576,1800121,5814
577,1801606,5815
578,1803274,5818
579,1804475,5820
580,1805654,5824
581,1806742,5828
582,1807831,5829
583,1808920,5828
584,1809950,5830
585,1810935,5833
586,1811893,5834
587,1812803,5838
588,1813870,5840
589,1814901,5842
590,1815956,5845
591,1816978,5845
592,1817745,5850
593,1818559,5850
594,1819359,5850
595,1820107,5851
596,1820877,5861
597,1821600,5864
598,1822437,5866
599,1823336,5868
600,1824229,5873
601,1825171,5874
602,1826245,5876
603,1827742,5877
604,1829461,5877
605,1831300,5881
606,1834788,5883
607,1835825,5884
608,1836751,5884
609,1837657,5888
610,1838462,5890
611,1839244,5901
612,1840184,5904
613,1841198,5904
614,1842006,5905
615,1842767,5906
616,1843486,5908
617,1844209,5908
618,1844828,5915
619,1845451,5917
620,1846039,5917
621,1846620,5918
622,1847158,5918
623,1847713,5919
