epoch_no,pool_count,mean_ada,stddev_ada,cv_pct,min_ada,max_ada
324,1033,22392422,21923816,97.91,1089214,73418118
325,1040,22298330,21962472,98.49,1086520,85774738
326,1008,22876992,22243799,97.23,1080654,85692087
327,1013,22726069,22061943,97.08,1080882,69180616
328,1019,22556778,22008578,97.57,1081292,68676978
329,1029,23667568,22482589,94.99,1142278,69158580
330,1024,23770305,22556414,94.89,1142139,68747311
331,1026,23804594,22571265,94.82,1149872,68786635
332,1027,23844760,22686832,95.14,1146049,90836049
333,1024,23898729,22645192,94.75,1152141,70150602
334,1019,24072663,22705078,94.32,1153062,79216601
335,1019,24065145,22728597,94.45,1150177,79195521
336,1015,24155683,22730296,94.10,1148629,79207334
337,1014,24166038,22752090,94.15,1146520,79243598
338,1015,24016583,22521474,93.77,1147500,71275372
339,1021,23939768,22523834,94.09,1148804,74753545
340,1017,23829778,22360065,93.83,1138837,76402478
341,1022,23792558,22474373,94.46,1139314,82088116
342,1020,23941422,22561828,94.24,1158587,85219042
343,1021,23804299,22572394,94.82,1138650,88011239
344,1022,23843807,22674381,95.10,1139256,90286746
345,1028,23777506,22471210,94.51,1142647,79755218
346,1028,23735958,22503657,94.81,1142398,79758529
347,1031,23699090,22507524,94.97,1151977,79787434
348,1029,23744504,22582495,95.11,1142234,79790603
349,1028,23541916,22530827,95.71,1138872,79786811
350,1030,23504621,22535252,95.88,1138012,79755218
351,1029,23537992,22535897,95.74,1134683,79775777
352,1032,23455901,22565493,96.20,1133906,79788957
353,1038,23334698,22601384,96.86,1140129,79796639
354,1031,23501601,22652971,96.39,1141375,79787339
355,1032,23540295,22648914,96.21,1141375,79792385
356,1037,23397619,22652355,96.81,1135595,79788215
357,1036,23431952,22700433,96.88,1139032,79788712
358,1038,23428880,22713722,96.95,1142731,73905085
359,1034,23583341,22720783,96.34,1144579,70318580
360,1037,23528847,22757310,96.72,1142029,70311912
361,1036,23640917,22859081,96.69,1145181,71658064
362,1039,23562841,22802192,96.77,1145181,70309449
363,1040,23596779,22819876,96.71,1153657,71211361
364,1045,23745561,22923563,96.54,1160813,71075422
365,1046,23716610,22911623,96.61,1160494,71108209
366,1049,23635942,22897225,96.87,1161800,71151418
367,1048,23688622,22941599,96.85,1163652,71162285
368,1053,23580578,22908629,97.15,1164817,75289148
369,1056,23596185,22947435,97.25,1164541,75328681
370,1054,23652893,23045571,97.43,1165774,81478522
371,1053,23612863,22949891,97.19,1169292,81522957
372,1060,23443804,22938157,97.84,1171134,81754460
373,1058,23490638,22943174,97.67,1172361,75354447
374,1058,23497494,22933026,97.60,1172971,76765304
375,1064,23440242,22950385,97.91,1172971,77247329
376,1060,23619782,23170050,98.10,1174185,110297276
377,1057,23616526,23181964,98.16,1174185,109979051
378,1058,23516978,23154884,98.46,1174185,109874991
379,1054,23546674,23105120,98.12,1163148,101909902
380,1054,23549829,23109008,98.13,1165331,101953918
381,1059,23467061,23173586,98.75,1163250,101991195
382,1060,23435434,23165480,98.85,1161385,101941094
383,1063,23507750,23238824,98.86,1172840,104514250
384,1061,23677706,23397205,98.82,1175688,75788159
385,1063,23658779,23377801,98.81,1176766,75674782
386,1055,23573242,23420916,99.35,1163524,76177609
387,1060,23754556,23469686,98.80,1178740,76184475
388,1062,23718580,23509159,99.12,1189261,76543459
389,1063,23745085,23572141,99.27,1189267,79093551
390,1066,23717267,23585548,99.44,1189165,79892609
391,1066,23724151,23600582,99.48,1191380,80648649
392,1066,23720163,23592611,99.46,1192467,80267598
393,1074,23493396,23453991,99.83,1179645,81699473
394,1079,23403753,23436614,100.14,1180744,82110594
395,1090,22940774,23219721,101.22,1169306,83188681
396,1087,23000205,23208561,100.91,1169386,82842300
397,1084,23062537,23250494,100.81,1170129,83582737
398,1080,23113239,23244539,100.57,1171284,79387764
399,1083,22815360,23062266,101.08,1155177,79424604
400,1081,22662918,23050627,101.71,1154133,79614431
401,1073,22732805,23065625,101.46,1154133,79583508
402,1069,22828602,23095881,101.17,1154133,79948986
403,1070,22721445,23050806,101.45,1139667,79738429
404,1067,22598255,22917188,101.41,1129225,80347794
405,1057,22809300,24703733,108.31,1131909,324298899
406,1055,22388694,24555068,109.68,1118462,324455607
407,1056,22323445,22909665,102.63,1102181,80463435
408,1057,22325258,22914982,102.64,1103751,80696461
409,1072,21537992,22608031,104.97,1082326,80731894
410,1070,21668426,22826175,105.34,1089080,108441735
411,1071,21417060,22690663,105.95,1072401,107978057
412,1068,21438389,22675111,105.77,1074857,107889710
413,1067,21442321,22689816,105.82,1077477,107856628
414,1047,21103032,22388743,106.09,1032867,107818955
415,1049,20822164,22200147,106.62,1020475,107423133
416,1068,21120909,21913993,103.75,1055895,88181086
417,1073,21101485,21897341,103.77,1062004,88146655
418,1070,21081722,21736389,103.11,1055539,86684491
419,1073,20995232,21645934,103.10,1053578,85787040
420,1070,21058427,21618777,102.66,1056831,85502978
421,1076,20959992,21398783,102.09,1059525,81376620
422,1078,20906523,21322583,101.99,1060020,79763417
423,1082,20862328,21275920,101.98,1060020,80039686
424,1082,20803721,21212581,101.97,1061004,80069010
425,1083,20751676,21137595,101.86,1061497,79599758
426,1087,20729386,21206025,102.30,1061497,79634870
427,1091,20513365,21432507,104.48,1048044,133477275
428,1091,20560101,21120140,102.72,1048530,81947659
429,1091,20589409,21126542,102.61,1053625,82491953
430,1090,20628274,21068275,102.13,1053625,82389930
431,1086,20694809,21104743,101.98,1053625,82426714
432,1081,20807756,21142536,101.61,1053625,82461201
433,1083,20810846,21158974,101.67,1053625,82531887
434,1083,20929654,21198602,101.29,1063921,82062760
435,1082,20816633,21213023,101.90,1053625,82381800
436,1084,20738670,21221743,102.33,1054104,81848729
437,1091,20627116,20999907,101.81,1054104,81857049
438,1091,20661959,20987814,101.58,1054104,82015925
439,1092,20701574,21013705,101.51,1058431,81958480
440,1065,20955223,21307236,101.68,1042729,81996684
441,1060,21464845,21903692,102.04,1065466,74720187
442,1056,21534758,21924371,101.81,1066830,75858386
443,1055,21602249,21902386,101.39,1066830,75915115
444,1056,21597956,21870276,101.26,1066830,75926068
445,1056,21637115,21909428,101.26,1068252,73745978
446,1058,21590506,21906839,101.47,1068726,78389942
447,1048,21771940,22154121,101.76,1069673,78481056
448,1051,21670857,22100318,101.98,1064896,79504472
449,1039,21858473,22100355,101.11,1066489,78564518
450,1039,21873525,22091450,101.00,1065363,77315455
451,1040,21892813,22155965,101.20,1067718,74487402
452,1043,21856293,22148600,101.34,1069392,73444543
453,1041,21891143,22147116,101.17,1073187,73458819
454,1040,21901971,22152879,101.15,1073187,74379177
455,1042,21818747,22154386,101.54,1064177,76464323
456,1041,21679239,22062729,101.77,1054527,78526974
457,1039,21728361,22079159,101.61,1054990,78850585
458,1042,21655236,22042597,101.79,1054990,79188690
459,1039,21687637,22075017,101.79,1056362,78263596
460,1041,21681917,22097046,101.91,1056362,81550382
461,1041,21684716,22107078,101.95,1056362,82016919
462,1036,21812215,22123236,101.43,1056362,83379958
463,1035,21814999,22123361,101.41,1055976,83283961
464,1039,21750544,22098031,101.60,1057719,82742592
465,1033,21885880,22144187,101.18,1056478,82773965
466,1034,21857089,22166751,101.42,1057359,85135274
467,1023,22155366,22350714,100.88,1070009,92302757
468,1019,22241954,22353933,100.50,1068560,93366607
469,1022,22139215,22260601,100.55,1063196,92961367
470,1019,22222891,22291507,100.31,1058448,88272001
471,1016,22289855,22305523,100.07,1058529,90830744
472,1017,22174213,22229693,100.25,1054454,92115443
473,1018,22127655,22157906,100.14,1053624,83498741
474,1021,22046967,22171384,100.56,1054455,94177594
475,1023,22001636,22128578,100.58,1054455,89183777
476,1023,21990062,22117136,100.58,1051524,87677161
477,1017,22107460,22120902,100.06,1052163,88320852
478,1014,22112651,22101333,99.95,1048269,88390657
479,1016,22072601,22098656,100.12,1052202,88257186
480,1015,22112641,22178312,100.30,1054081,90040140
481,1015,22109634,22163252,100.24,1054309,89311039
482,1020,22002972,22102286,100.45,1054538,89207477
483,1017,22092048,22142380,100.23,1054774,89237401
484,1021,22014729,22118975,100.47,1054774,91717848
485,1021,22024734,22130570,100.48,1055203,91746574
486,1021,22035214,22040921,100.03,1056061,80401316
487,1023,21997701,22055638,100.26,1056061,79310642
488,1025,21946008,22046852,100.46,1055358,79892249
489,1024,21972349,22144105,100.78,1055358,78772959
490,1030,21875538,22051905,100.81,1055208,78890929
491,1030,21877775,22090168,100.97,1056208,77970230
492,1031,21853833,22037221,100.84,1056208,77758534
493,1033,21824111,22028154,100.93,1055858,76227633
494,1033,21835892,22049036,100.98,1054822,75471098
495,1029,21933655,22128907,100.89,1060813,75494039
496,1029,21947310,22096799,100.68,1061235,76568629
497,1028,21978783,21976517,99.99,1056160,76882530
498,1028,22006173,22019781,100.06,1057221,76822268
499,1030,22007689,22072179,100.29,1062076,77857850
500,1032,21948360,22014376,100.30,1062914,78570315
501,1030,21933090,22004941,100.33,1063332,76065887
502,1029,21972023,22046442,100.34,1063750,75985988
503,1031,21867263,22070692,100.93,1064167,75864940
504,1028,21966739,22129373,100.74,1064167,76866996
505,1025,21856193,22213164,101.63,1064167,76215601
506,1026,21834589,22221735,101.77,1052133,75694098
507,1028,21761710,22213448,102.08,1052503,75843537
508,1027,21802204,22242438,102.02,1050279,75751599
509,1024,21886933,22263230,101.72,1052071,75829498
510,1025,21846928,22237572,101.79,1067856,76150698
511,1027,21853339,22208013,101.62,1067856,75242996
512,1022,21977286,22481906,102.30,1058553,106027343
513,1023,21986806,22486053,102.27,1058243,105392400
514,1021,22012805,22412724,101.82,1053599,105408514
515,1017,21909477,22427446,102.36,1042458,105433475
516,1018,21906568,22407555,102.29,1043665,105473189
517,1020,21852120,22384599,102.44,1046627,100498238
518,1020,21753651,22328329,102.64,1036278,100529552
519,1014,21856006,22359123,102.30,1036386,100561922
520,1010,21995408,22400100,101.84,1043442,100593528
521,1005,22112876,22392242,101.26,1043836,100625526
522,1004,22046159,22346481,101.36,1037108,100652814
523,999,22049276,22286816,101.08,1035563,100685626
524,996,22024898,22289251,101.20,1026946,98714181
525,997,21814967,22236967,101.93,1016400,100236703
526,997,21797996,22192965,101.81,1017018,100260512
527,999,21634923,22102170,102.16,1018178,103782974
528,993,21701377,22102649,101.85,1018561,105708441
529,992,21705026,22134900,101.98,1018560,105734364
530,992,21686068,22103079,101.92,1018938,105763415
531,992,21791725,22187639,101.82,1019314,105790731
532,991,21826157,22236100,101.88,1019689,105816140
533,992,21773335,22226700,102.08,1013629,105836076
534,994,21761020,22259732,102.29,1012028,100869454
535,993,21767485,22255072,102.24,1012028,100891212
536,986,21886431,22293079,101.86,1007958,100923901
537,990,21766946,22277187,102.34,1008939,101005137
538,989,21790380,22301526,102.35,1009310,101025627
539,988,21833383,22246300,101.89,1009626,99054654
540,988,21916036,22313511,101.81,1011698,99066818
541,989,21911236,22288063,101.72,1012800,89094858
542,987,21971463,22306383,101.52,1013167,89122625
543,988,21872630,22356224,102.21,1010049,89145879
544,983,22007547,22307709,101.36,1014269,85194352
545,987,21771207,22196596,101.95,1010049,85730510
546,984,21800327,22177700,101.73,1006631,84567850
547,986,21773332,22227497,102.09,1006995,83458129
548,987,21822444,22319456,102.28,1010411,81383912
549,987,21864184,22405583,102.48,1010770,88995597
550,986,21932638,22547821,102.80,1010770,86174818
551,983,22029701,23876486,108.38,1011289,275493017
552,980,22086504,23890285,108.17,1012209,275586912
553,982,21979207,23799501,108.28,1008368,275674669
554,987,21921654,22467914,102.49,1012569,77720518
555,989,22102685,22560141,102.07,1022795,77075889
556,989,22108504,22812728,103.19,1027053,134633051
557,992,22068752,22832386,103.46,1026316,134664495
558,990,22115398,22823942,103.20,1026585,125574868
559,987,22177093,22763718,102.65,1023779,97432345
560,987,22186214,22805613,102.79,1023779,98813805
561,985,22252910,22878986,102.81,1024547,96065574
562,980,22308201,22938135,102.82,1024547,110814833
563,974,22342932,22949573,102.72,1025608,100701079
564,976,22260139,22939240,103.05,1016097,101921898
565,972,22383290,22990721,102.71,1017217,103695342
566,972,22333375,22996053,102.97,1016452,103767468
567,971,22361602,22997142,102.84,1016452,105463847
568,967,22567223,23092505,102.33,1027587,106340726
569,966,22604059,23118570,102.28,1027237,108290126
570,962,22717340,23156844,101.93,1029537,107150006
571,963,22665528,23111528,101.97,1020062,107047714
572,965,22515866,23089085,102.55,1017502,105194460
573,969,22387354,23032570,102.88,1014566,105183470
574,966,22463402,23110780,102.88,1016367,105838467
575,965,22482006,23083418,102.68,1016367,95666498
576,964,22489782,23166246,103.01,1016367,97651951
577,966,22462087,23208531,103.32,1016367,97645601
578,965,22442765,23248091,103.59,1012337,99662791
579,962,22554805,23436309,103.91,1018771,119852202
580,964,22498704,23443982,104.20,1019799,117840440
581,967,22432761,23537558,104.92,1014793,115688800
582,967,22480698,23623721,105.08,1017114,119546982
583,969,22322354,23477690,105.18,1018166,123141996
584,968,22321161,23554342,105.52,1010058,121493632
585,971,22264287,23536224,105.71,1010058,121548283
586,964,22350001,23473276,105.03,1007584,106707800
587,964,22358129,23486539,105.05,1007920,106623687
588,963,22389507,23475694,104.85,1011728,106016392
589,960,22474717,23474648,104.45,1007785,106777169
590,957,22613714,23664816,104.65,1015540,117949461
