epoch_no,total_tx,script_tx,simple_tx,script_pct,total_fee_ada,script_fee_ada,script_fee_pct
302,1033931,1926,1032005,0.19,202279.497524,1500.919843,0.74
303,488235,2181,486054,0.45,103395.856418,1881.692662,1.82
304,1566974,2880,1564094,0.18,308293.830822,2667.914286,0.87
305,769219,4921,764298,0.64,156264.770889,4033.774166,2.58
306,531293,5924,525369,1.12,114439.696442,5085.754379,4.44
307,604359,7709,596650,1.28,127647.415455,6957.822444,5.45
308,427399,19499,407900,4.56,103811.542089,18763.310623,18.07
309,553388,26474,526914,4.78,134784.675796,24395.030517,18.10
310,475918,22216,453702,4.67,116225.490530,19906.852325,17.13
311,452652,18425,434227,4.07,107642.266965,16907.354851,15.71
312,501383,41955,459428,8.37,135522.429378,38011.941204,28.05
313,643762,63782,579980,9.91,182577.641027,61325.445790,33.59
314,643632,74825,568807,11.63,192127.658577,71687.410408,37.31
315,906299,107086,799213,11.82,269870.823296,102860.635669,38.11
316,841394,127162,714232,15.11,252763.162151,102264.938440,40.46
317,756297,119486,636811,15.80,252123.552102,115946.217488,45.99
318,655198,117266,537932,17.90,233870.176809,117520.922031,50.25
319,650534,117971,532563,18.13,242157.748335,127350.424378,52.59
320,601903,111040,490863,18.45,233553.475002,126501.087835,54.16
321,643509,108683,534826,16.89,243949.058349,128607.786402,52.72
322,627687,107164,520523,17.07,241654.937960,129798.852118,53.71
323,559393,102916,456477,18.40,226099.862852,126408.495515,55.91
324,557373,96129,461244,17.25,218116.421930,118243.972190,54.21
325,460050,98371,361679,21.38,197003.983114,115858.876361,58.81
326,592413,101190,491223,17.08,226748.921164,117913.802191,52.00
327,568933,125046,443887,21.98,229617.380821,130921.872540,57.02
328,550807,119422,431385,21.68,227208.702587,131495.246958,57.87
329,546489,131896,414593,24.14,232457.560903,140514.243865,60.45
330,499577,128537,371040,25.73,215991.479619,133289.298734,61.71
331,450346,114707,335639,25.47,176480.861305,101910.195895,57.75
332,584705,141955,442750,24.28,211816.288426,116379.905720,54.94
333,573296,151515,421781,26.43,209376.078021,117390.971366,56.07
334,515610,149611,365999,29.02,192921.162356,111855.407255,57.98
335,584346,149475,434871,25.58,205828.054439,109140.616890,53.03
336,529384,149009,380375,28.15,192024.791502,108425.541860,56.46
337,478517,133818,344699,27.97,173248.817607,96996.591161,55.99
338,542058,110726,431332,20.43,172421.937813,80789.752144,46.86
339,488198,126853,361345,25.98,168281.312815,89869.686611,53.40
340,435077,126799,308278,29.14,160002.862256,89354.692083,55.85
341,477842,133513,344329,27.94,169007.597834,93310.565146,55.21
342,470464,124963,345501,26.56,163696.811862,87628.817256,53.53
343,463239,125535,337704,27.10,162340.782180,88406.643221,54.46
344,394771,104229,290542,26.40,138919.762103,73828.408159,53.14
345,339988,89206,250782,26.24,121086.316506,64679.593770,53.42
346,319881,84061,235820,26.28,116216.272055,61902.099394,53.26
347,346770,88911,257859,25.64,122720.682635,64169.174015,52.29
348,335679,90972,244707,27.10,123792.277750,67685.122928,54.68
349,358347,87021,271326,24.28,125541.678700,63630.070295,50.68
350,315748,84941,230807,26.90,115135.305638,62852.314443,54.59
351,389952,105284,284668,27.00,141792.415732,76520.575358,53.97
352,380463,93413,287050,24.55,134611.424626,68013.156032,50.53
353,333919,89086,244833,26.68,121313.174941,65716.479624,54.17
354,397134,111333,285801,28.03,146116.971676,80663.945010,55.21
355,340089,99263,240826,29.19,127309.306074,71903.852428,56.48
356,323867,84721,239146,26.16,116037.863239,62017.229552,53.45
357,342561,91853,250708,26.81,125139.811300,67258.256170,53.75
