epoch_no,script_tx,key_tx,script_fee,key_fee
360,83722,235743,62338.220630000000,54306.174410000000
361,80233,245904,59476.173052000000,56769.028483000000
362,73095,224039,53396.534631000000,52236.140126000000
363,67417,204192,48215.076270000000,48187.819717000000
364,73777,236836,52426.831426000000,56132.103447000000
365,74362,221430,52645.997120000000,51505.208994000000
366,76573,272421,52535.094820000000,65862.747147000000
367,63862,252621,46499.394085000000,62243.229265000000
368,51195,272815,39670.615429000000,68213.317104000000
369,56138,329332,43473.518854000000,84596.511231000000
370,63627,394065,49439.413704000000,103483.966457000000
371,54630,427823,42959.518107000000,113708.479426000000
372,44302,384334,35094.883954000000,100087.600633000000
373,41907,375499,34357.330146000000,98485.473764000000
374,36069,327812,29234.676575000000,84740.249447000000
375,32153,335105,25588.325868000000,82888.489791000000
376,31181,363585,24585.260274000000,88606.875797000000
377,44607,382900,34404.364986000000,96394.113951000000
378,34477,306791,27068.214822000000,79248.271970000000
379,35373,303118,27605.353849000000,82246.016385000000
380,37751,293572,29551.475524000000,76122.228496000000
381,37168,381300,29032.744800000000,96290.989783000000
382,37621,326909,35070.334134000000,83851.407495000000
383,37418,278396,36997.944914000000,71283.442177000000
384,41079,289208,39685.937904000000,75319.743862000000
385,48557,311808,45989.323449000000,81577.008268000000
386,51805,376704,46634.822806000000,97392.188647000000
387,49499,339724,39639.211346000000,87266.257576000000
388,49832,296953,38814.875289000000,78841.164399000000
389,50929,287929,40401.285546000000,75597.585813000000
390,45815,306102,37065.117578000000,81218.132573000000
391,56207,385004,44348.073995000000,102046.792094000000
392,59605,344087,42676.398303000000,91843.430067000000
393,47216,294837,31922.627717000000,78281.736586000000
394,43951,256352,31626.297406000000,66754.868539000000
395,40605,248886,27930.834243000000,64935.225082000000
396,39080,269277,25466.341056000000,70469.593147000000
397,39295,248554,27291.462876000000,67220.600618000000
398,38009,239498,27170.201855000000,64436.721871000000
399,42037,264449,29266.274387000000,70790.794745000000
400,38689,297063,26902.779733000000,80835.160036000000
401,34414,267588,24064.453877000000,74355.793917000000
402,30599,223265,21111.848130000000,60731.467744000000
403,31641,245173,21722.695447000000,67437.403300000000
404,32822,210029,23388.022379000000,58452.958408000000
405,36897,251311,27215.013693000000,68515.066434000000
406,34938,233098,25818.532673000000,63744.625348000000
407,36363,230146,26591.517772000000,63311.307755000000
408,31428,215779,23510.692838000000,58095.890643000000
409,58442,250276,46231.924634000000,66738.717104000000
410,94494,299074,68915.813561000000,75615.974573000000
411,62508,257922,46647.118295000000,67318.900735000000
412,67660,260289,50346.397357000000,67398.440030000000
413,91919,313151,69025.929942000000,80943.375772000000
414,111725,332613,80947.834021000000,83551.172096000000
415,115515,374758,84228.238496000000,94463.671273000000
416,106304,352972,78866.275851000000,90693.559925000000
417,72858,302880,53167.883315000000,81075.226755000000
418,65418,263271,48917.447964000000,71350.924978000000
419,70995,287316,51854.956488000000,77025.057181000000
420,82607,298821,60087.491320000000,81315.409162000000
421,80866,289133,56764.983118000000,78840.154680000000
422,84690,308870,61882.908422000000,84136.475918000000
423,88218,352065,61663.737605000000,96880.223751000000
424,66586,291390,45727.842880000000,80855.752714000000
425,74662,288536,51735.267408000000,80652.790000000000
426,66727,287421,44993.050306000000,81915.326862000000
427,52838,271589,34962.618838000000,76415.137043000000
428,62056,281628,43060.320813000000,80412.345847000000
429,44987,223387,32013.290296000000,63898.211808000000
430,43027,224717,30031.504555000000,62876.878668000000
431,38443,210964,25749.157459000000,59451.093979000000
432,37366,193987,25999.255922000000,55097.345342000000
433,36025,255697,25173.352718000000,72008.247153000000
434,32874,202629,22871.961136000000,57978.678900000000
435,29710,213805,20269.268881000000,60457.296160000000
436,29852,197067,20382.081397000000,56329.969895000000
437,28174,195760,19285.941361000000,56555.401588000000
438,40427,239486,25862.477841000000,68631.787186000000
439,51064,246045,34872.675287000000,69344.829133000000
440,44711,232656,30322.407895000000,65004.296467000000
441,44463,224810,30536.818429000000,63631.221528000000
442,53596,237852,35844.613900000000,66571.412722000000
443,48158,205320,30992.576863000000,58682.857244000000
444,53374,249733,35614.203510000000,69246.471643000000
445,42751,231336,29067.543555000000,66452.137986000000
446,47719,249658,33261.156736000000,70115.818155000000
447,44926,257903,31396.642601000000,72714.692046000000
448,40115,253720,28009.401192000000,74017.556519000000
449,38500,245557,26477.346060000000,71332.944133000000
450,34428,227440,24172.691706000000,64888.710116000000
451,38694,267541,27388.577238000000,72958.448645000000
452,58909,286654,41026.054071000000,80399.689221000000
453,88204,385411,63539.050129000000,105760.081597000000
454,84882,374399,60562.329610000000,105836.094591000000
455,90665,362789,63711.393556000000,100436.998031000000
456,70062,345960,49915.712896000000,96727.634775000000
457,82693,381933,58709.241270000000,106530.298313000000
458,65042,362047,46723.471739000000,103879.777235000000
459,68842,352545,46372.443461000000,103129.734683000000
460,74181,346587,52006.840661000000,97914.954430000000
461,64267,309750,46396.782827000000,84382.559234000000
462,66467,285695,47843.506222000000,77486.593597000000
463,54187,261242,38959.604598000000,71947.640857000000
464,52028,288206,36952.656105000000,79959.766598000000
465,54722,288192,38393.908168000000,79418.239297000000
466,60016,287225,40575.606499000000,81343.826027000000
467,56363,280956,39500.307041000000,76483.526196000000
468,53352,285884,37967.072593000000,78234.423468000000
469,53895,311244,38459.216381000000,83060.764537000000
470,61738,342214,43275.665477000000,90132.915462000000
471,72184,316779,52597.378399000000,83408.708644000000
472,54010,317298,39225.903849000000,84408.605228000000
473,51512,260445,36470.604684000000,69501.469770000000
474,37533,209726,27023.290706000000,55996.313894000000
475,46601,240473,33940.197299000000,64110.331343000000
476,52443,244004,38289.092082000000,63792.369220000000
477,49066,226756,35930.561089000000,58198.121646000000
478,51633,225283,38638.184997000000,59843.161803000000
479,42885,219775,31397.667133000000,57133.454759000000
480,43489,197474,31233.776025000000,52778.396849000000
481,40705,176842,29358.302857000000,46531.525490000000
482,36595,186929,26390.574702000000,49135.671309000000
483,38824,177991,28466.939979000000,46651.007482000000
484,44954,179316,31802.259083000000,46968.671036000000
485,41692,203289,29855.466824000000,53311.630359000000
486,40768,203961,28700.838498000000,53137.917267000000
487,34058,168590,23550.168450000000,44956.338801000000
488,31691,180278,22163.555119000000,47344.294838000000
489,34988,205969,24274.636655000000,54733.140120000000
490,33608,177876,23544.233582000000,46871.975742000000
491,38253,178377,25684.807784000000,46394.898051000000
492,113219,290636,69299.009818000000,73624.431898000000
493,104410,293816,64249.620349000000,77188.200379000000
494,60628,233128,36789.285446000000,60875.315377000000
495,51518,191420,31739.674378000000,50284.770194000000
496,48285,224199,29517.822755000000,59973.069422000000
497,36006,210167,21785.079736000000,56677.422532000000
498,26522,191256,15649.128685000000,51363.067503000000
499,25525,176144,15112.710672000000,47103.447038000000
500,27102,189784,15419.851633000000,52108.202098000000
501,28999,187521,17301.033412000000,50921.934396000000
502,20297,157648,12515.504569000000,42737.255211000000
503,17509,146456,11005.066453000000,39460.172352000000
504,15843,147710,10358.175916000000,39777.509157000000
505,18400,168807,11681.986746000000,46018.619115000000
506,17963,175410,10921.911389000000,48570.292162000000
507,19146,330251,12923.624568000000,103170.686346000000
508,16568,258517,10289.873548000000,82817.658855000000
509,16071,187275,10309.477851000000,59351.657818000000
510,14423,163990,9255.6837040000000000,122900.966841000000
511,15906,161928,10125.077764000000,55850.924049000000
512,19412,176985,12260.985279000000,55971.447779000000
513,13340,142186,7963.7887570000000000,44733.821578000000
514,17415,154693,10063.7884640000000000,48503.283375000000
515,16804,158093,10067.0988360000000000,49571.527879000000
516,18543,182243,10888.883845000000,54818.728654000000
517,18970,176409,13462.343911000000,56003.035627000000
518,16888,189363,11200.187640000000,61393.137982000000
519,16687,194841,10832.524498000000,61868.608534000000
520,36213,326011,23952.561331000000,101395.797699000000
521,31902,344178,20629.548348000000,105476.841194000000
522,38119,491032,24505.585995000000,156108.172370000000
523,39616,573782,25160.114844000000,175625.981714000000
524,34728,483703,23925.765784000000,154670.896992000000
525,50031,574114,33657.702449000000,177800.944999000000
526,34724,519142,22871.832466000000,167149.241810000000
527,25647,443867,16383.762745000000,142027.270026000000
528,22709,371523,13990.208393000000,118097.100500000000
529,15216,392817,9620.2771130000000000,104210.322747000000
530,12646,297469,7681.4756780000000000,95969.190998000000
531,19778,293813,15504.841940000000,91881.922308000000
532,17509,249124,14097.868924000000,77970.329321000000
533,14460,270255,8910.1931210000000000,88924.629577000000
534,22307,366199,15867.444483000000,119275.620835000000
535,18908,286076,11744.926882000000,91196.377964000000
536,17410,258291,10550.294833000000,82834.455403000000
537,22012,321425,13786.546794000000,104054.848172000000
538,13589,215004,8399.6858420000000000,68069.627065000000
539,11540,196833,7084.6241420000000000,60830.655531000000
540,12363,213693,7616.8010490000000000,68886.272539000000
541,10866,207405,6877.0123530000000000,67197.171148000000
542,13759,205886,8522.3913640000000000,65232.968682000000
543,18810,294778,11494.727225000000,87619.147542000000
544,12699,193467,7987.5758750000000000,58956.177027000000
545,10509,154574,6393.6849030000000000,57023.782368000000
546,8854,130542,5585.6961840000000000,47792.241084000000
547,8074,143285,4746.1591690000000000,50127.392820000000
548,6882,132743,4083.9216050000000000,49052.851001000000
549,8288,139562,4961.3843070000000000,51363.061664000000
550,11065,163293,6747.6955110000000000,60683.808498000000
551,8145,132343,4831.9521550000000000,48185.508990000000
552,7365,125116,4546.7504580000000000,46380.322385000000
553,8539,161846,5269.3708660000000000,59290.865841000000
554,11055,167580,7082.8364280000000000,61358.361678000000
555,7834,151116,4813.4225990000000000,55021.641882000000
556,9877,167972,6055.5715240000000000,60653.469015000000
557,11575,188623,6916.5208800000000000,64932.303296000000
558,11870,160978,7094.9537370000000000,58583.326475000000
559,10258,169150,6162.6822170000000000,59387.003277000000
560,10458,149066,6376.6531930000000000,52409.159069000000
561,12442,152235,7520.2391680000000000,54950.979970000000
562,11731,140474,6896.2672040000000000,50796.625381000000
563,12196,157522,7243.5446470000000000,57115.781272000000
564,12808,130600,8678.3786900000000000,46412.211783000000
565,15677,136406,8805.0016330000000000,50190.930840000000
566,12246,132719,7056.3075010000000000,47751.826804000000
567,15060,153612,8745.9567910000000000,54828.278518000000
568,11374,119396,6329.4675990000000000,35753.036666000000
569,17428,179838,9812.1075200000000000,53904.074730000000
570,12944,207874,7686.2518290000000000,60768.656330000000
571,14504,191271,8375.3942770000000000,55101.835350000000
572,15023,155008,7739.9926550000000000,45489.224769000000
573,15834,177969,8205.1442640000000000,53732.498820000000
574,13610,182463,7812.8353200000000000,54989.537396000000
575,15669,196018,9201.2168770000000000,57331.030924000000
576,18219,227098,10638.159022000000,65277.733377000000
577,13703,162960,7914.2612400000000000,47414.340360000000
578,11638,141734,6796.0967190000000000,40214.194853000000
579,11683,138108,7095.1221690000000000,39317.350715000000
580,13712,163355,8331.2806310000000000,49996.402212000000
581,10999,166473,6631.4570380000000000,50906.397301000000
582,12276,169560,7322.1007980000000000,50412.285231000000
583,13070,144858,7192.8022930000000000,41530.558338000000
584,14572,147810,7780.8928100000000000,43467.491887000000
585,13290,131455,6918.7771950000000000,37699.732510000000
586,12201,139625,6388.7251500000000000,39166.766929000000
587,18758,149670,11092.758013000000,43793.311352000000
588,18083,137195,9651.4735180000000000,40006.393589000000
589,15957,127121,8782.0149340000000000,37671.104300000000
590,15355,129257,8595.7849920000000000,38009.444622000000
591,20865,145524,10113.032536000000,41284.421971000000
592,18591,168600,10160.840157000000,50771.962825000000
593,14144,138569,7727.6556360000000000,39925.861826000000
594,16699,125091,8929.2474240000000000,35526.441020000000
595,18543,157086,10335.069749000000,47492.682971000000
596,14829,128063,7878.7229010000000000,40409.631676000000
597,10734,125494,5788.4598850000000000,36014.543915000000
598,13643,137728,7288.2190940000000000,40385.616186000000
599,19616,176802,11017.328807000000,54505.217626000000
600,26325,206770,15134.825657000000,67703.991078000000
601,25762,195652,13430.035071000000,63064.594998000000
602,23498,198290,12635.754429000000,64435.429692000000
603,16730,146591,8537.9872170000000000,45494.169693000000
604,17304,153491,8406.7237930000000000,45362.837050000000
605,17647,135560,8468.9599010000000000,41561.346886000000
606,10491,107962,5817.5253060000000000,32526.029201000000
607,10835,110318,5758.9037710000000000,33259.369498000000
608,12905,111831,6149.2753330000000000,33949.146591000000
609,11054,113585,5855.6221960000000000,34195.174939000000
610,20410,167318,11947.959956000000,52900.782487000000
611,18695,170492,9834.5862300000000000,54515.324342000000
612,11442,127696,5936.3797720000000000,38503.465698000000
613,9527,110185,4734.3895200000000000,32975.928276000000
614,9625,109356,4865.9205640000000000,33507.790697000000
615,11044,123166,5757.8722020000000000,36521.928789000000
616,12406,105652,6003.4509890000000000,30974.227056000000
617,9234,91230,4654.6755250000000000,27006.531288000000
618,13196,112921,6809.5468410000000000,34725.176198000000
619,12877,105662,6372.7743950000000000,30739.303718000000
620,11864,101193,6040.6935900000000000,30003.034402000000
621,10910,109448,5764.0199680000000000,33145.141761000000
622,11981,117627,6117.7468220000000000,35405.704841000000
