epoch_no,script_tx,key_tx,script_fee,key_fee
319,117971,532563,127350.424378000000,114807.323957000000
320,111040,490863,126501.087835000000,107052.387167000000
321,108683,534826,128607.786402000000,115341.271947000000
322,107164,520523,129798.852118000000,111856.085842000000
323,102916,456477,126408.495515000000,99691.367337000000
324,96129,461244,118243.972190000000,99872.449740000000
325,98371,361679,115858.876361000000,81145.106753000000
326,101190,491223,117913.802191000000,108835.118973000000
327,125046,443887,130921.872540000000,98695.508281000000
328,119422,431385,131495.246958000000,95713.455629000000
329,131896,414593,140514.243865000000,91943.317038000000
330,128537,371040,133289.298734000000,82702.180885000000
331,114707,335639,101910.195895000000,74570.665410000000
332,141955,442750,116379.905720000000,95436.382706000000
333,151515,421781,117390.971366000000,91985.106655000000
334,149611,365999,111855.407255000000,81065.755101000000
335,149475,434871,109140.616890000000,96687.437549000000
336,149009,380375,108425.541860000000,83599.249642000000
337,133818,344699,96996.591161000000,76252.226446000000
338,110726,431332,80789.752144000000,91632.185669000000
339,126853,361345,89869.686611000000,78411.626204000000
340,126799,308278,89354.692083000000,70648.170173000000
341,133513,344329,93310.565146000000,75697.032688000000
342,124963,345501,87628.817256000000,76067.994606000000
343,125535,337704,88406.643221000000,73934.138959000000
344,104229,290542,73828.408159000000,65091.353944000000
345,89206,250782,64679.593770000000,56406.722736000000
346,84061,235820,61902.099394000000,54314.172661000000
347,88911,257859,64169.174015000000,58551.508620000000
348,90972,244707,67685.122928000000,56107.154822000000
349,87021,271326,63630.070295000000,61911.608405000000
350,84941,230807,62852.314443000000,52282.991195000000
351,105284,284668,76520.575358000000,65271.840374000000
352,93413,287050,68013.156032000000,66598.268594000000
353,89086,244833,65716.479624000000,55596.695317000000
354,111333,285801,80663.945010000000,65453.026666000000
355,99263,240826,71903.852428000000,55405.453646000000
356,84721,239146,62017.229552000000,54020.633687000000
357,91853,250708,67258.256170000000,57881.555130000000
358,88859,252759,64342.198798000000,58080.390071000000
359,81730,238770,59427.975936000000,54416.406147000000
