epoch_no,tx_count,total_fee_ada
448,293835,102026.957711000000
449,284057,97810.290193000000
450,261868,89061.401822000000
451,306235,100347.025883000000
452,345563,121425.743292000000
453,473615,169299.131726000000
454,459281,166398.424201000000
455,453454,164148.391587000000
456,416022,146643.347671000000
457,464626,165239.539583000000
458,427089,150603.248974000000
459,421387,149502.178144000000
460,420768,149921.795091000000
461,374017,130779.342061000000
462,352162,125330.099819000000
463,315429,110907.245455000000
464,340234,116912.422703000000
465,342914,117812.147465000000
466,347241,121919.432526000000
467,337319,115983.833237000000
468,339236,116201.496061000000
469,365139,121519.980918000000
470,403952,133408.580939000000
471,388963,136006.087043000000
472,371308,123634.509077000000
473,311957,105972.074454000000
474,247259,83019.604600000000
475,287074,98050.528642000000
476,296447,102081.461302000000
477,275822,94128.682735000000
478,276916,98481.346800000000
479,262660,88531.121892000000
480,240963,84012.172874000000
481,217547,75889.828347000000
482,223524,75526.246011000000
483,216815,75117.947461000000
484,224270,78770.930119000000
485,244981,83167.097183000000
486,244729,81838.755765000000
487,202648,68506.507251000000
488,211969,69507.849957000000
489,240957,79007.776775000000
490,211484,70416.209324000000
491,216630,72079.705835000000
492,403855,142923.441716000000
493,398226,141437.820728000000
494,293756,97664.600823000000
495,242938,82024.444572000000
496,272484,89490.892177000000
497,246173,78462.502268000000
498,217778,67012.196188000000
499,201669,62216.157710000000
500,216886,67528.053731000000
501,216520,68222.967808000000
502,177945,55252.759780000000
503,163965,50465.238805000000
504,163553,50135.685073000000
505,187207,57700.605861000000
506,193373,59492.203551000000
507,349397,116094.310914000000
508,275085,93107.532403000000
509,203346,69661.135669000000
510,178413,132156.650545000000
511,177834,65976.001813000000
512,196397,68232.433058000000
513,155526,52697.610335000000
514,172108,58567.071839000000
515,174897,59638.626715000000
516,200786,65707.612499000000
517,195379,69465.379538000000
518,206251,72593.325622000000
519,211528,72701.133032000000
520,362224,125348.359030000000
521,376080,126106.389542000000
522,529151,180613.758365000000
523,613398,200786.096558000000
524,518431,178596.662776000000
525,624145,211458.647448000000
526,553866,190021.074276000000
527,469514,158411.032771000000
528,394232,132087.308893000000
529,408033,113830.599860000000
530,310115,103650.666676000000
531,313591,107386.764248000000
532,266633,92068.198245000000
533,284715,97834.822698000000
534,388506,135143.065318000000
535,304984,102941.304846000000
536,275701,93384.750236000000
537,343437,117841.394966000000
538,228593,76469.312907000000
539,208373,67915.279673000000
540,226056,76503.073588000000
541,218271,74074.183501000000
542,219645,73755.360046000000
543,313588,99113.874767000000
544,206166,66943.752902000000
545,165083,63417.467271000000
546,139396,53377.937268000000
547,151359,54873.551989000000
548,139625,53136.772606000000
549,147850,56324.445971000000
550,174358,67431.504009000000
551,140488,53017.461145000000
552,132481,50927.072843000000
553,170385,64560.236707000000
554,178635,68441.198106000000
555,158950,59835.064481000000
556,177849,66709.040539000000
557,200198,71848.824176000000
558,172848,65678.280212000000
559,179408,65549.685494000000
560,159524,58785.812262000000
561,164677,62471.219138000000
562,152205,57692.892585000000
563,169718,64359.325919000000
564,143408,55090.590473000000
565,152083,58995.932473000000
566,144965,54808.134305000000
567,168672,63574.235309000000
568,130770,42082.504265000000
569,197266,63716.182250000000
570,220818,68454.908159000000
571,205775,63477.229627000000
572,170031,53229.217424000000
573,193803,61937.643084000000
574,196073,62802.372716000000
575,211687,66532.247801000000
576,245317,75915.892399000000
577,176663,55328.601600000000
578,153372,47010.291572000000
579,149791,46412.472884000000
580,177067,58327.682843000000
581,177472,57537.854339000000
582,181836,57734.386029000000
583,157928,48723.360631000000
584,162382,51248.384697000000
585,144745,44618.509705000000
586,151826,45555.492079000000
587,168428,54886.069365000000
588,155278,49657.867107000000
589,143078,46453.119234000000
590,144612,46605.229614000000
591,166389,51397.454507000000
592,187191,60932.802982000000
593,152713,47653.517462000000
594,141790,44455.688444000000
595,175629,57827.752720000000
596,142892,48288.354577000000
597,136228,41803.003800000000
598,151371,47673.835280000000
599,196418,65522.546433000000
600,233095,82838.816735000000
601,221414,76494.630069000000
602,221788,77071.184121000000
603,163321,54032.156910000000
604,170795,53769.560843000000
605,153207,50030.306787000000
606,118453,38343.554507000000
607,121153,39018.273269000000
608,124736,40098.421924000000
609,124639,40050.797135000000
610,187728,64848.742443000000
611,189187,64349.910572000000
612,139138,44439.845470000000
613,119712,37710.317796000000
614,118981,38373.711261000000
615,134210,42279.800991000000
616,118058,36977.678045000000
617,100464,31661.206813000000
618,126117,41534.723039000000
619,118539,37112.078113000000
620,113057,36043.727992000000
621,120358,38909.161729000000
622,129608,41523.451663000000
