epoch_no,redelegations,initial_delegations,renewals,total_certs
419,3475,2844,389,6708
420,2801,1981,264,5046
421,2292,1827,429,4548
422,2563,1616,269,4448
423,2069,1736,259,4064
424,1859,1536,282,3677
425,1886,1487,351,3724
426,2044,1599,295,3938
427,1805,1407,214,3426
428,2705,1740,239,4684
429,1624,1633,226,3483
430,1767,1397,275,3439
431,1506,1157,230,2893
432,1475,1630,231,3336
433,1536,2133,211,3880
434,1590,2274,196,4060
435,1470,1984,194,3648
436,1514,1519,283,3316
437,1410,1548,445,3403
438,1375,2036,204,3615
439,1458,2067,189,3714
440,1171,1435,181,2787
441,1394,1375,185,2954
442,1350,1386,326,3062
443,1271,1326,186,2783
444,1328,1462,297,3087
445,1467,1603,241,3311
446,1925,2294,317,4536
447,1902,1999,451,4352
448,2567,2457,405,5429
449,3909,2666,466,7041
450,2496,2225,387,5108
451,2607,2020,327,4954
452,2147,2426,343,4916
453,2029,2132,323,4484
454,2340,2595,424,5359
455,3327,3202,603,7132
456,2955,2894,534,6383
457,2406,2411,400,5217
458,2405,2463,477,5345
459,2958,2632,424,6014
460,2642,2569,499,5710
461,2547,2251,421,5219
462,2544,2500,406,5450
463,2016,1816,294,4126
464,1886,1796,309,3991
465,2191,1985,400,4576
466,1944,1862,305,4111
467,1950,1790,301,4041
468,2210,2041,354,4605
469,2686,2506,500,5692
470,2298,2453,540,5291
471,2577,2581,546,5704
472,3413,3165,607,7185
473,2738,2476,491,5705
474,2428,2037,409,4874
475,1927,2082,608,4617
476,1723,1953,364,4040
477,2072,2015,372,4459
478,2043,1781,315,4139
479,1601,1596,319,3516
480,1444,1501,295,3240
481,1336,1425,285,3046
482,1276,1283,278,2837
483,1137,1105,234,2476
484,1457,1135,224,2816
485,1095,1005,231,2331
486,1189,872,175,2236
487,1287,993,212,2492
488,1221,1036,254,2511
489,1157,1019,223,2399
490,1156,986,250,2392
491,1247,1029,241,2517
492,1267,965,239,2471
493,1039,976,159,2174
494,1188,900,233,2321
495,1154,930,213,2297
496,1225,857,210,2292
497,1142,805,252,2199
498,1218,859,202,2279
499,1236,852,216,2304
500,1114,816,216,2146
501,1514,802,201,2517
502,1331,754,260,2345
503,1452,762,290,2504
504,1225,728,254,2207
505,1231,628,188,2047
506,1299,810,229,2338
507,1233,862,197,2292
508,1275,790,213,2278
509,1682,1026,313,3021
510,1295,857,218,2370
511,1250,861,218,2329
512,1266,771,227,2264
513,1305,746,210,2261
514,1279,743,207,2229
515,896,765,155,1816
516,987,738,173,1898
517,1184,853,195,2232
518,1116,880,180,2176
519,1078,828,216,2122
520,1191,948,234,2373
521,1069,712,322,2103
522,2393,1396,347,4136
523,3119,2033,458,5610
524,3105,2618,1061,6784
525,3759,3264,644,7667
526,2564,2574,966,6104
527,3418,3269,1624,8311
528,2349,2678,1435,6462
529,1933,2173,355,4461
530,1698,1820,290,3808
531,1372,1712,264,3348
532,1282,1688,215,3185
533,1757,1869,285,3911
534,1601,1734,246,3581
535,1205,1465,214,2884
536,1787,1840,298,3925
537,1472,1730,292,3494
538,1488,1584,290,3362
539,1585,1546,384,3515
540,1376,1283,305,2964
541,1269,1641,313,3223
542,1210,1244,290,2744
543,1205,1253,221,2679
544,926,1169,313,2408
545,1938,1877,420,4235
546,1355,1429,298,3082
547,1178,1188,261,2627
548,1118,1074,236,2428
549,1029,1161,223,2413
550,950,1029,237,2216
551,958,882,226,2066
552,959,974,266,2199
553,973,978,237,2188
554,1146,889,227,2262
555,1052,994,270,2316
556,1199,997,322,2518
557,1135,1236,317,2688
558,1232,1022,267,2521
559,1298,1076,255,2629
560,1136,1126,245,2507
561,1070,1069,324,2463
562,1010,1040,219,2269
563,859,833,167,1859
564,766,891,205,1862
565,871,907,234,2012
566,740,1114,186,2040
567,830,908,166,1904
568,814,828,177,1819
569,869,858,222,1949
570,808,801,255,1864
571,1111,1115,310,2536
572,1364,1314,319,2997
573,1476,1403,348,3227
574,971,1115,248,2334
575,1020,1109,297,2426
576,1353,1438,256,3047
577,1340,1481,280,3101
578,1748,1670,357,3775
579,1142,1198,226,2566
580,1092,1177,229,2498
581,919,1090,218,2227
582,930,1087,232,2249
583,917,1083,215,2215
584,1012,1028,203,2243
585,885,983,207,2075
586,798,951,212,1961
587,867,908,195,1970
588,1074,1067,222,2363
589,870,1033,237,2140
590,967,1053,280,2300
591,864,1018,224,2106
592,784,769,211,1764
593,826,815,226,1867
594,707,797,275,1779
595,815,747,226,1788
596,680,769,225,1674
597,769,724,198,1691
598,1212,839,191,2242
599,1015,899,182,2096
600,1216,889,211,2316
601,1216,939,225,2380
602,1052,1073,214,2339
603,874,1365,183,2422
604,864,1532,295,2691
605,975,1840,195,3010
606,1144,3458,250,4852
607,961,1035,199,2195
608,833,926,189,1948
609,849,900,168,1917
610,971,804,166,1941
611,805,772,197,1774
612,872,935,221,2028
613,919,1007,255,2181
614,728,806,152,1686
615,802,763,205,1770
616,728,720,128,1576
617,823,723,167,1713
618,639,620,147,1406
619,616,614,137,1367
620,554,590,134,1278
621,655,580,143,1378
622,596,541,127,1264
623,640,554,116,1310
624,617,581,174,1372
625,2,0,1,3
