epoch_no,total_staked,delegation_count,pool_count
414,22295045136549650,1279807,3076
415,22038246193166985,1280782,3106
416,22759595184076732,1281505,3103
417,22842302638514721,1282885,3104
418,22760011177229524,1283965,3093
419,22729170693675721,1285466,3097
420,22735339826891192,1286487,3092
421,22754191715164150,1287395,3091
422,22738857806901471,1287854,3096
423,22773418178320278,1288794,3093
424,22711253346600455,1289962,3095
425,22676707531012130,1290700,3095
426,22732516900656160,1291373,3095
427,22579357645295976,1292159,3099
428,22632865782292962,1293363,3093
429,22662176862965439,1294582,3103
430,22686201305546085,1295429,3104
431,22674711468934312,1296252,3105
432,22695615637522079,1297340,3103
433,22739705233017050,1299073,3097
434,22870877219041007,1300878,3099
435,22726035890487094,1302169,3099
436,22679217241348026,1302889,3088
437,22701589918366356,1303859,3081
438,22737914126995122,1305056,3080
439,22801871441552063,1306661,3079
440,22514867910780042,1307467,3076
441,22955109945068621,1308308,3074
442,22940355522696339,1309082,3073
443,22988928834088224,1309631,3069
444,23004649208045949,1310469,3040
445,23045467808136013,1311395,3040
446,23036424585723136,1312928,3045
447,23015951543513577,1313993,3043
448,22973647281453944,1315034,3045
449,22913589651850692,1316566,3044
450,22933912927653027,1317529,3043
451,22972937519833023,1318503,3039
452,22998890880631860,1319469,3034
453,22994869891768396,1320782,3031
454,22984219844001210,1322107,3031
455,22942860543017489,1323297,3029
456,22770454070974905,1324788,3025
457,22779501708183156,1326184,3032
458,22765662149259078,1327342,3031
459,22738105605272210,1328663,3029
460,22775568090705115,1330033,3025
461,22777537504728683,1330729,3027
462,22803301466429253,1331762,3027
463,22790065923096244,1332390,3032
464,22806091554047574,1333193,3034
465,22819400151950538,1334518,3036
466,22806500155574553,1335577,3037
467,22879836956660107,1336611,3035
468,22882223369631738,1336303,3030
469,22839587170009953,1337390,3029
470,22861134936826292,1338696,3025
471,22860653065403081,1339065,3023
472,22761022830643560,1338937,3019
473,22735428098786274,1339204,3021
474,22719453098782785,1339125,3025
475,22715556235537756,1339631,3020
476,22705372932636708,1340422,3022
477,22697968340213296,1340361,3012
478,22639199712419476,1340997,3011
479,22641739799139393,1341417,3012
480,22661310740997364,1341999,3019
481,22654534217562355,1342389,3022
482,22653275811843579,1342987,3023
483,22681562360727143,1343482,3028
484,22686138659428115,1343968,3038
485,22695629742500528,1344320,3040
486,22706311003437400,1344347,3047
487,22710321196091239,1344475,3048
488,22700671337272854,1344666,3048
489,22705703216591345,1344997,3047
490,22734331818384852,1345286,3044
491,22736272601621351,1345644,3041
492,22732567937784555,1346023,3041
493,22744116768308459,1346201,3040
494,22756607315444624,1346627,3038
495,22771232974796474,1346982,3035
496,22789583284062206,1347382,3036
497,22801813336374511,1346235,3036
498,22830844849203451,1346582,3038
499,22873579013689561,1346748,3039
500,22852658455110977,1347061,3041
501,22794903139974785,1347330,3040
502,22810377476386927,1347472,3037
503,22745376906060619,1333314,3035
504,22781672667239782,1333448,3030
505,22600556855956102,1333761,3031
506,22600232613963850,1334209,3028
507,22567839323083531,1334566,3027
508,22586623335121436,1334122,3023
509,22610003947264705,1334785,3024
510,22588758523424195,1335280,3022
511,22637728145881961,1335673,3023
512,22656152037291989,1335522,3021
513,22686595602651204,1335700,3021
514,22671216420970964,1335893,3021
515,22476173550896677,1319147,3012
516,22493985848363256,1319265,3010
517,22481238040040453,1316892,3008
518,22380307136018118,1317152,3010
519,22355453996921236,1317146,3008
520,22411934449129259,1317281,3009
521,22423816005469061,1317334,3009
522,22331739656036658,1316443,3004
523,22226152478286832,1314425,3001
524,22138381507576587,1314033,2999
525,21944929264932197,1312405,2994
526,21924175535465161,1312746,2991
527,21802449607298101,1311404,2987
528,21737769803656856,1311823,2976
529,21717339085152952,1312816,2976
530,21697209082962923,1313221,2963
531,21804749802154928,1314109,2964
532,21817460645661093,1315072,2967
533,21783994147298654,1314815,2944
534,21814492372711965,1315759,2937
535,21798903569417910,1316628,2937
536,21765141117698004,1316715,2934
537,21731394373885401,1317575,2934
538,21732597322645825,1318604,2931
539,21755527964838129,1319956,2930
540,21837205631437933,1321125,2929
541,21854080344758402,1322506,2931
542,21872113567830103,1323081,2932
543,21796340953635208,1324035,2932
544,21823502285947055,1324918,2931
545,21673243447482263,1325950,2931
546,21637834989759867,1326910,2929
547,21655503103340812,1327873,2930
548,21726082507638521,1328723,2931
549,21766071182100255,1328824,2929
550,21812491878436515,1328718,2934
551,21839712488768927,1329369,2935
552,21832860292651210,1330134,2936
553,21769745271314169,1330855,2935
554,21825006603826781,1331212,2935
555,22049432187784738,1331903,2937
556,22054102090672863,1331835,2933
557,22081183126929265,1332778,2928
558,22085192251000900,1333528,2928
559,22080315873734355,1333069,2927
560,22086101194918576,1333813,2927
561,22109408030981126,1334269,2924
562,22055740205171748,1333978,2922
563,21959294096131465,1334087,2920
564,21922356837245120,1334508,2922
565,21958011810684761,1335040,2927
566,21909218295498912,1335616,2925
567,21911352429418808,1335910,2921
568,22022928316834548,1336417,2921
569,22035038886516172,1336951,2921
570,22056635838406806,1337356,2923
571,22028539050854703,1337726,2922
572,21928035208025158,1337886,2921
573,21889641633435155,1338115,2918
574,21898643146872253,1338595,2919
575,21895552138158468,1339052,2919
576,21879134170304901,1340022,2920
577,21897320121806599,1340841,2919
578,21857567223311737,1341361,2920
579,21898391706924883,1341068,2912
580,21887150568893730,1341689,2915
581,21887105805085033,1342227,2917
582,21932976973704571,1342523,2874
583,21822469474536029,1342924,2871
584,21798391155204639,1343077,2872
585,21808768736065718,1343410,2874
586,21732932915137046,1342905,2874
587,21741130576696239,1343462,2878
588,21752023558942310,1343849,2879
589,21766293850806113,1344271,2880
590,21834289199208843,1342784,2879
591,21737104837933660,1340426,2874
592,21768154434483376,1340786,2875
593,21884432047703240,1341196,2874
594,21796543431606323,1341308,2871
595,21775051520898840,1341205,2869
596,21773369871355612,1341589,2878
597,21430486660512638,1341749,2880
598,21343208608377632,1342107,2880
599,21480447664888182,1340659,2880
600,21398446571510616,1341233,2884
601,21341397816188452,1341831,2882
602,21451565514021817,1342558,2880
603,21475204604420372,1343325,2878
604,21380792173008964,1344683,2876
605,21393258962888843,1346086,2879
606,21385329421986636,1349248,2881
607,21404991557393012,1349755,2880
608,21452877819651593,1349810,2864
609,21514024128616719,1350222,2866
610,21570932611491566,1350711,2866
611,21556514440366017,1351194,2875
612,21333861050004229,1351344,2874
613,21331595884016358,1351965,2872
614,21513392623540974,1352522,2870
615,21523562757696971,1353079,2871
616,21571947707756785,1353539,2871
617,21750394647282169,1353461,2870
618,21787927325337212,1353648,2875
619,21849668855036690,1354069,2877
620,21839820414776830,1354467,2877
621,21726675466814412,1354531,2878
622,21693633140195333,1354717,2876
623,21754686921728843,1355035,2877
