epoch_no,total_staked,total_pools,total_delegations,production_threshold,productive_pools,productive_stake,productive_delegations,subthreshold_pools,subthreshold_stake,subthreshold_delegations
281,23254470605645231,2843,710785,1076595861372,1002,23037300136538502,694093,1841,217170469106729,16692
282,23244660857359753,2866,717713,1076141706359,1005,23029726311310271,700923,1861,214934546049482,16790
283,23277148789435534,2878,725789,1077645777289,1006,23060698308765823,708542,1872,216450480669711,17247
284,23275724668511213,2904,734064,1077579845764,1007,23055514421769618,715947,1897,220210246741595,18117
285,23159940155010115,2922,743824,1072219451621,1008,22937094861644322,724824,1914,222845293365793,19000
286,23141094607453731,2934,756429,1071346972567,1017,22921714725762991,737567,1917,219379881690740,18862
287,23041097075076811,2946,772259,1066717457179,1026,22819908095962578,752999,1920,221188979114233,19260
288,23136223153988390,2944,787340,1071121442314,1028,22922153475436885,768484,1916,214069678551505,18856
289,23311196777534712,2945,801247,1079222073034,1031,23098150632049331,781687,1914,213046145485381,19560
290,23253494675755279,2961,814673,1076550679433,1028,23039195910197359,794732,1933,214298765557920,19941
291,23219858534473043,2984,827585,1074993450670,1025,23007962946387846,806795,1959,211895588085197,20790
292,23325839206372436,2987,842057,1079899963258,1028,23109279850226366,820678,1959,216559356146070,21379
293,23395112387185878,2990,856004,1083107054962,1027,23179331388269642,834611,1963,215780998916236,21393
294,23382668673546580,3007,867502,1082530957109,1028,23165901906582904,846367,1979,216766766963676,21135
295,23411124422164299,3024,877382,1083848352878,1029,23194542059891211,855978,1995,216582362273088,21404
296,23445774697795279,3036,887839,1085452532305,1027,23226532633351329,866029,2009,219242064443950,21810
297,23478023193513019,3040,896871,1086945518218,1028,23247908903366845,872623,2012,230114290146174,24248
298,23511990337865722,3055,905063,1088518071197,1016,23279992941009844,879843,2039,231997396855878,25220
299,23564534162883159,3050,913114,1090950655689,1018,23332436465682211,886984,2032,232097697200948,26130
300,23882888816746304,3041,920846,1105689297072,1025,23651702754320267,895303,2016,231186062426037,25543
301,23857504839454979,3050,928654,1104514112938,1031,23631543864278630,903010,2019,225960975176349,25644
302,23848572589189307,3045,936068,1104100582833,1031,23609150671958217,910170,2014,239421917231090,25898
303,23849267970809683,3045,945054,1104132776426,1031,23611979539991369,919092,2014,237288430818314,25962
304,23856125875170714,3059,956412,1104450271999,1033,23621788144726722,930153,2026,234337730443992,26259
305,23854747611964258,3078,968097,1104386463517,1030,23621994448537335,941557,2048,232753163426923,26540
306,23836977371261268,3071,979156,1103563767188,1021,23594600143402250,951233,2050,242377227859018,27923
307,23854464200396318,3094,989066,1104373342611,1021,23612640755918710,961048,2073,241823444477608,28018
308,23828103259412320,3089,1000058,1103152928676,1021,23587001926941092,971162,2068,241101332471228,28896
309,23765024934948158,3082,1010063,1100232635877,1016,23521613419326117,980170,2066,243411515622041,29893
310,23777625558169828,3090,1017022,1100815998063,1016,23536705644528378,986941,2074,240919913641450,30081
311,23732237106487225,3086,1008484,1098714680856,1009,23496005319737815,978745,2077,236231786749410,29739
312,23741900713307325,3092,1015715,1099162070061,1010,23505842545143042,985832,2082,236058168164283,29883
313,23726880119033853,3094,1022743,1098466672177,1010,23490764300512246,992657,2084,236115818521607,30086
314,23604987896132501,3086,1032531,1092823513710,1009,23375324011878962,1001556,2077,229663884253539,30975
315,23537012833083860,3084,1047244,1089676520050,1013,23317317215144024,1016647,2071,219695617939836,30597
316,23549369658121787,3079,1059536,1090248595283,1008,23323618229273688,1027596,2071,225751428848099,31940
317,23582836244979864,3085,1100964,1091797974305,978,23351243380016013,1066830,2107,231592864963851,34134
318,23583277486361153,3087,1126340,1091818402146,953,23348943889489082,1088747,2134,234333596872071,37593
319,23565309681268636,3088,1138269,1090986559318,951,23331189698763672,1100723,2137,234119982504964,37546
320,23561047526582598,3088,1146245,1090789237342,959,23331846710502741,1109592,2129,229200816079857,36653
321,23537719498083358,3088,1152905,1089709236022,964,23312337946908968,1116718,2124,225381551174390,36187
322,23504746248174263,3096,1158573,1088182696675,966,23277550703107101,1121748,2130,227195545067162,36825
323,23487356050894396,3104,1164585,1087377594949,1027,23263923803583244,1130461,2077,223432247311152,34124
324,23354498909628269,3107,1167620,1081226801372,1033,23131371436775778,1134797,2074,223127472852491,32823
325,23417671451022013,3112,1170621,1084151456066,1040,23190263170400580,1137695,2072,227408280621433,32926
326,23301004853802289,3123,1169492,1078750224713,1008,23060007491257637,1134007,2115,240997362544652,35485
327,23258804977034064,3125,1171672,1076796526715,1013,23021507789387002,1135967,2112,237297187647062,35705
328,23216173396125970,3126,1171948,1074822842413,1019,22985356858885634,1137026,2107,230816537240336,34922
329,24598636428762437,3145,1173939,1138825760591,1029,24353927537865173,1136844,2116,244708890897264,37095
330,24587384093653744,3154,1176081,1138304819151,1024,24340792692571448,1139184,2130,246591401082296,36897
331,24665771640296284,3160,1178546,1141933872236,1026,24423513893256650,1141178,2134,242257747039634,37368
332,24727842768797003,3156,1180504,1144807535592,1027,24488568729504320,1142655,2129,239274039292683,37849
333,24714063915931440,3147,1182605,1144169625738,1024,24472298864878414,1144425,2123,241765051053026,38180
334,24776127551439804,3156,1184977,1147042942196,1019,24530044029343881,1146240,2137,246083522095923,38737
335,24769119181729635,3149,1187140,1146718480636,1019,24522382979384834,1147762,2130,246736202344801,39378
336,24767062828320552,3149,1190619,1146623279089,1015,24518017919824542,1150824,2134,249044908496010,39795
337,24753443176758479,3152,1192770,1145992739665,1014,24504362685818336,1152595,2138,249080490940143,40175
