epoch_no,redelegations,initial_delegations,renewals,total_certs
419,3651,2731,388,6770
420,2860,1979,259,5098
421,2344,1825,429,4598
422,2618,1622,278,4518
423,2126,1759,267,4152
424,1909,1553,288,3750
425,1944,1501,359,3804
426,2108,1614,301,4023
427,1850,1425,216,3491
428,2798,1758,242,4798
429,1656,1657,229,3542
430,1805,1417,281,3503
431,1542,1164,231,2937
432,1506,1655,233,3394
433,1584,2151,207,3942
434,1645,2303,193,4141
435,1503,1994,191,3688
436,1541,1534,276,3351
437,1437,1562,455,3454
438,1400,2050,214,3664
439,1515,2087,193,3795
440,1224,1449,180,2853
441,1520,1401,184,3105
442,1426,1399,326,3151
443,1321,1338,184,2843
444,1362,1474,321,3157
445,1505,1611,239,3355
446,1947,2306,316,4569
447,1933,2003,450,4386
448,2613,2462,405,5480
449,3953,2671,462,7086
450,2522,2229,387,5138
451,2627,2025,326,4978
452,2174,2435,339,4948
453,2049,2132,324,4505
454,2431,2595,424,5450
455,3490,3205,604,7299
456,3007,2903,530,6440
457,2437,2424,397,5258
458,2424,2462,479,5365
459,2982,2637,422,6041
460,2669,2571,504,5744
461,2577,2255,427,5259
462,2566,2499,409,5474
463,2071,1831,290,4192
464,2005,1795,316,4116
465,2272,1989,396,4657
466,2001,1867,307,4175
467,2026,1814,301,4141
468,2339,2050,363,4752
469,2805,2528,509,5842
470,2425,2476,552,5453
471,2740,2643,557,5940
472,3592,3188,621,7401
473,2784,2475,487,5746
474,2461,2044,404,4909
475,1953,2092,621,4666
476,1745,1960,364,4069
477,2096,2019,372,4487
478,2063,1793,315,4171
479,1616,1601,319,3536
480,1452,1516,294,3262
481,1351,1430,287,3068
482,1284,1298,277,2859
483,1145,1120,236,2501
484,1474,1148,225,2847
485,1104,1016,230,2350
486,1195,875,175,2245
487,1294,998,216,2508
488,1345,1057,254,2656
489,1193,1025,222,2440
490,1189,989,257,2435
491,1318,1051,240,2609
492,1299,972,238,2509
493,1057,982,159,2198
494,1205,903,231,2339
495,1175,936,211,2322
496,1278,861,226,2365
497,1163,815,252,2230
498,1238,859,200,2297
499,1247,852,218,2317
500,1130,819,217,2166
501,1552,807,204,2563
502,1365,761,259,2385
503,1475,764,289,2528
504,1262,731,255,2248
505,1276,638,186,2100
506,1334,806,231,2371
507,1250,867,199,2316
508,1293,791,208,2292
509,1713,1033,311,3057
510,1310,859,217,2386
511,1266,865,220,2351
512,1373,776,225,2374
513,1330,759,210,2299
514,1300,745,205,2250
515,922,765,154,1841
516,1001,740,171,1912
517,1199,853,193,2245
518,1130,886,180,2196
519,1097,820,215,2132
520,1204,947,232,2383
521,1091,711,322,2124
522,2414,1397,347,4158
523,3140,2036,461,5637
524,3133,2622,1058,6813
525,3792,3268,644,7704
526,2592,2579,970,6141
527,3470,3295,1617,8382
528,2389,2679,1435,6503
529,1956,2168,353,4477
530,1715,1836,291,3842
531,1394,1713,263,3370
532,1303,1694,216,3213
533,1782,1870,288,3940
534,1648,1742,249,3639
535,1223,1465,214,2902
536,1805,1858,302,3965
537,1482,1745,295,3522
538,1508,1580,289,3377
539,1600,1547,386,3533
540,1395,1321,304,3020
541,1276,1645,314,3235
542,1237,1242,287,2766
543,1466,1254,218,2938
544,1031,1171,311,2513
545,1956,1881,417,4254
546,1370,1423,296,3089
547,1195,1180,262,2637
548,1144,1064,239,2447
549,1047,1158,223,2428
550,970,1034,237,2241
551,969,886,225,2080
552,976,973,265,2214
553,987,980,239,2206
554,1169,899,229,2297
555,1092,999,271,2362
556,1211,999,321,2531
557,1153,1236,323,2712
558,1260,1013,266,2539
559,1323,1099,260,2682
560,1173,1143,266,2582
561,1098,1061,337,2496
562,1025,1047,226,2298
563,878,839,171,1888
564,774,892,205,1871
565,885,906,237,2028
566,756,1107,186,2049
567,847,909,165,1921
568,826,839,178,1843
569,880,858,221,1959
570,822,807,255,1884
571,1120,1116,312,2548
572,1380,1310,319,3009
573,1497,1400,346,3243
574,983,1114,245,2342
575,1030,1106,295,2431
576,1367,1436,259,3062
577,1366,1485,281,3132
578,1768,1668,358,3794
579,1160,1201,224,2585
580,1100,1179,229,2508
581,930,1088,216,2234
582,942,1089,231,2262
583,929,1089,214,2232
584,1022,1030,202,2254
585,888,985,208,2081
586,801,958,212,1971
587,875,910,195,1980
588,1080,1067,222,2369
589,875,1031,236,2142
590,975,1055,280,2310
591,869,1022,224,2115
592,790,767,211,1768
593,835,814,226,1875
594,712,800,277,1789
595,821,748,226,1795
596,692,770,224,1686
597,777,723,197,1697
598,1216,837,191,2244
599,1025,899,180,2104
600,1240,893,212,2345
601,1221,942,225,2388
602,1056,1074,213,2343
603,877,1497,183,2557
604,872,1719,295,2886
605,982,1839,195,3016
606,1157,3488,250,4895
607,990,1037,199,2226
608,842,926,191,1959
609,860,906,168,1934
610,975,805,165,1945
611,817,782,196,1795
612,877,940,220,2037
613,926,1014,254,2194
614,732,808,152,1692
615,807,761,205,1773
616,730,719,127,1576
617,830,723,167,1720
618,644,619,147,1410
619,618,623,139,1380
620,559,588,135,1282
621,661,581,143,1385
622,604,538,127,1269
623,649,555,115,1319
624,627,587,169,1383
625,2,0,1,3
