epoch_no,reserve,treasury,circulating,utxo,unclaimed_rewards,deposits
286,11949345585782632,580813475958128,32469840938259240,31993740078301897,472950701847062,3080674000000
287,11927003666950877,587866685636543,32485129647412580,32004737520411539,477204074586022,3107936000000
288,11904389292477517,595010655786398,32500600051736085,32022916175235567,474456503718649,3140836000000
289,11882381119547453,601999673290515,32515619207162032,32032565537426451,479778868880803,3174808000000
290,11860319467481270,609002817835001,32530677714683729,32040161506419571,487198477771061,3212648000000
291,11838146881718587,616008493107142,32545844625174271,32052486634262243,490023549659931,3246248000000
292,11815842837779699,623039919820396,32561117242399905,32059581576137843,498168881775072,3278276000000
293,11793690427914625,630037263793143,32576272308292232,32071955171537486,500909737447627,3312824000000
294,11771504387608670,637024173474141,32591471438917189,32081169476222408,506871250479840,3338702000000
295,11749349764763643,643991464810237,32606658770426120,32092240169107272,510970937927276,3362142000000
296,11727557414227650,650852643461256,32621589942311094,32099476313461364,518656595482706,3378738000000
297,11705653358398389,657738963676591,32636607677925020,32109362856255445,523763589297134,3404652000000
298,11684019538729705,664536270685807,32651444190584488,32116786911233328,531168570641408,3410326000000
299,11343887069673499,671319247451273,32984793682875228,32124291439414792,856974682075971,3428972000000
300,11323054368200473,677910511293920,32999035120505607,32453404576940498,542059489797401,3446712000000
301,11302106993169046,684275367847493,33013617638983461,32459090459736224,550977747051997,3461226000000
302,11280717436923376,690958635875788,33028323927200836,32472031367061130,552712467185803,3483056000000
303,11259657628761195,697557178525050,33042785192713755,32488129471284809,550941493931422,3511948000000
304,11238469926202349,704231212591513,33057298861206138,32496268001919300,557390353430420,3537110000000
305,11217568742767163,710796083937713,33071635173295124,32509401283239684,558359890224618,3565706000000
306,11196633067737696,717435151480773,33085931780781531,32520899716101619,561282257909023,3593542000000
307,11175759253425611,724010388331415,33100230358242974,32528780025278042,567722755268490,3613138000000
308,11154816240369338,730601615685965,33114582143944697,32538902663187591,571916869341651,3634964000000
309,11134121506196268,737110558232480,33128767935571252,32549773970345357,575244073683806,3646080000000
310,11113347476573099,743638101982934,33143014421443967,32561299999240069,577913891528102,3665746000000
311,11092893736994628,750091385613797,33157014877391575,32570532887873216,582685200027829,3680564000000
312,11072246017826610,756609425944090,33171144556229300,32590321104585069,577024431377266,3691378000000
313,11051631533654672,763121537857734,33185246928487594,32601567115275256,579836462782960,3707828000000
314,11031385419250644,769551576595698,33199063004153658,32616900037333978,578245335178653,3735054000000
315,11011700944995489,775800361280391,33212498693724120,32642139577093760,566407246971783,3759742000000
316,10992003609815988,782079043389156,33225917346794856,32657820788799533,563985677172027,3841010000000
