epoch_no,tier,cnt,total_ada
500,03_small,244058,817203345.98809
500,04_medium,94964,2715703603.393286
500,05_large,16428,3271610054.919536
500,06_whale,2216,1503416910.478938
500,07_mega,2130,4835420023.784231
500,08_titan,330,9592002887.704891
510,01_micro,710741,10322625.958654
510,02_tiny,269705,104932059.088887
510,03_small,239563,803455983.979526
510,04_medium,94067,2697105762.325465
510,05_large,16542,3293697709.598158
510,06_whale,2216,1505683270.72283
510,07_mega,2127,4835001385.675953
510,08_titan,319,9338559726.074722
520,01_micro,706487,10209087.56902
520,02_tiny,263495,102446344.03846
520,03_small,233349,784343325.640729
520,04_medium,92797,2670580498.503713
520,05_large,16483,3289719018.756798
520,06_whale,2246,1524795637.996605
520,07_mega,2107,4752420763.046897
520,08_titan,317,9277419773.577038
530,01_micro,735000,10396693.518783
530,02_tiny,252187,97020178.021432
530,03_small,217017,730521462.011295
530,04_medium,88234,2561039014.852279
530,05_large,16172,3230539144.387166
530,06_whale,2258,1527210798.573161
530,07_mega,2045,4661260672.59707
530,08_titan,308,8879221119.001738
540,01_micro,749044,10554399.673687
540,02_tiny,250626,96040172.343445
540,03_small,213650,718668754.463469
540,04_medium,87221,2535398247.305393
540,05_large,16015,3207827539.638092
540,06_whale,2235,1515831385.332734
540,07_mega,2018,4580803980.302301
540,08_titan,316,9172081152.378813
550,01_micro,757384,10691994.212155
550,02_tiny,251229,96010558.916023
550,03_small,212763,715693986.244214
550,04_medium,86874,2528551970.447648
550,05_large,15947,3194961963.888144
550,06_whale,2196,1488404589.970566
550,07_mega,2007,4563967678.886277
550,08_titan,318,9214209135.871489
560,01_micro,763651,10758641.023077
560,02_tiny,250858,95775114.589231
560,03_small,211887,713154135.945061
560,04_medium,86936,2532920321.548693
560,05_large,15951,3190159412.299512
560,06_whale,2188,1485822717.852727
560,07_mega,2018,4568787841.421054
560,08_titan,324,9488723010.239222
570,01_micro,769479,10809986.856545
570,02_tiny,250245,95405754.470999
570,03_small,210542,708761194.455613
570,04_medium,86605,2524524703.226341
570,05_large,15963,3195852255.418505
570,06_whale,2196,1493591951.311478
570,07_mega,2010,4536403800.29631
570,08_titan,316,9491286192.371016
580,01_micro,779527,10919828.643385
580,02_tiny,249143,94650302.240367
580,03_small,207294,698105166.996512
580,04_medium,85352,2490638470.87041
580,05_large,15878,3170805640.57558
580,06_whale,2203,1498739531.196579
580,07_mega,1982,4521084560.904166
580,08_titan,310,9402207067.46673
590,01_micro,785231,10973625.184777
590,02_tiny,247897,93951257.787505
590,03_small,204654,689110638.937655
590,04_medium,84679,2470842788.532532
590,05_large,15838,3166954199.816521
590,06_whale,2209,1500946776.119613
590,07_mega,1966,4463507356.121491
590,08_titan,310,9438002556.70875
600,01_micro,788082,11019099.953979
600,02_tiny,247295,93616606.499904
600,03_small,202406,680959957.733133
600,04_medium,83505,2438283969.762921
600,05_large,15547,3108219960.627036
600,06_whale,2158,1462817644.697135
600,07_mega,1939,4409340249.455825
600,08_titan,301,9194189082.780684
610,01_micro,796350,11209569.181857
610,02_tiny,249032,94148277.586627
610,03_small,202294,680408705.743936
610,04_medium,83273,2432659435.824378
610,05_large,15401,3074012137.335437
610,06_whale,2115,1439996326.775292
610,07_mega,1942,4370659675.52667
610,08_titan,304,9467838483.517368
620,01_micro,800296,11239551.810316
620,02_tiny,249103,94215727.238187
620,03_small,201932,679255057.199638
620,04_medium,83424,2436277691.352511
620,05_large,15357,3066652562.445251
620,06_whale,2098,1429338825.385176
620,07_mega,1946,4406444960.086781
620,08_titan,311,9716396039.25897
623,01_micro,801067,11234187.448216
623,02_tiny,249181,94188215.702301
623,03_small,201797,679004418.579655
623,04_medium,83307,2431591856.696459
623,05_large,15347,3060711337.743766
623,06_whale,2092,1426815849.403494
623,07_mega,1926,4305865009.551018
623,08_titan,318,9745276046.603933
