tier,delegation_count,total_ada,min_ada,median_ada,max_ada
01_micro_lt100,801067,11234187.448216,0.000000,3.660078,99.999995
02_tiny_100_1k,249181,94188215.702301,100.000000,302.481208,999.987617
03_small_1k_10k,201797,679004418.579655,1000.000000,2542.590075,9999.944808
04_medium_10k_100k,83307,2431591856.696459,10000.000000,21244.861748,99999.970342
05_large_100k_500k,15347,3060711337.743766,100000.000000,164371.290862,499997.814655
06_whale_500k_1m,2092,1426815849.403494,500002.447837,645977.118590,999999.302755
07_mega_1m_10m,1926,4305865009.551018,1000000.000000,1575857.875946,9979992.616424
08_titan_10m_plus,318,9745276046.603934,10000502.700000,31781076.067610,81015773.652129
