epoch_no,entries,exits,survivors,net_change
500,3,1,1029,2
501,1,3,1029,-2
502,1,2,1028,-1
503,5,3,1026,2
504,2,5,1026,-3
505,4,7,1021,-3
506,4,3,1022,1
507,3,1,1025,2
508,5,6,1022,-1
509,3,6,1021,-3
510,5,4,1020,1
511,4,2,1023,2
512,3,8,1019,-5
513,2,1,1021,1
514,5,7,1016,-2
515,5,9,1012,-4
516,5,4,1013,1
517,8,6,1012,2
518,6,6,1014,0
519,0,6,1014,-6
520,4,8,1006,-4
521,2,7,1003,-5
522,5,6,999,-1
523,4,9,995,-5
524,2,5,994,-3
525,8,7,989,1
526,3,3,994,0
527,8,6,991,2
528,3,9,990,-6
529,4,5,988,-1
530,2,2,990,0
531,4,4,988,0
532,3,4,988,-1
533,4,3,988,1
534,3,1,991,2
535,2,3,991,-1
536,4,11,982,-7
537,5,1,985,4
538,2,3,987,-1
539,5,6,983,-1
540,2,2,986,0
541,3,2,986,1
542,2,4,985,-2
543,5,4,983,1
544,1,6,982,-5
545,8,4,979,4
546,1,4,983,-3
547,3,1,983,2
548,2,1,985,1
549,3,3,984,0
550,4,5,982,-1
551,6,9,977,-3
552,6,9,974,-3
553,2,0,980,2
554,10,5,977,5
555,8,6,981,2
556,2,2,987,0
557,6,3,986,3
558,4,6,986,-2
559,0,3,987,-3
560,4,4,983,0
561,4,6,981,-2
562,3,8,977,-5
563,3,9,971,-6
564,5,3,971,2
565,4,8,968,-4
566,8,8,964,0
567,3,4,968,-1
568,1,5,966,-4
569,1,2,965,-1
570,2,6,960,-4
571,4,3,959,1
572,4,2,961,2
573,6,2,963,4
574,2,5,964,-3
575,0,1,965,-1
576,3,4,961,-1
577,6,4,960,2
578,5,6,960,-1
579,3,6,959,-3
580,3,1,961,2
581,4,1,963,3
582,3,3,964,0
583,3,1,966,2
584,4,5,964,-1
585,5,2,966,3
586,3,10,961,-7
587,1,1,963,0
588,4,5,959,-1
589,5,8,955,-3
590,5,8,952,-3
591,2,4,953,-2
592,3,2,953,1
593,6,7,949,-1
594,4,6,949,-2
595,3,5,948,-2
596,1,2,949,-1
597,7,10,940,-3
598,5,3,944,2
599,3,5,944,-2
600,7,4,943,3
601,4,5,945,-1
602,3,4,945,-1
603,4,4,944,0
604,5,7,941,-2
605,3,2,944,1
606,2,4,943,-2
607,3,7,938,-4
608,3,3,938,0
609,5,7,934,-2
610,6,2,937,4
611,10,3,940,7
612,4,9,941,-5
613,3,4,941,-1
614,10,4,940,6
615,6,7,943,-1
616,3,1,948,2
617,5,8,943,-3
618,4,4,944,0
619,2,3,945,-1
620,5,1,946,4
621,3,2,949,1
622,2,2,950,0
623,1,2,950,-1
