ticker,poolId,epoch_stake_ada,pledge_ada,owner_stake_ada,fixed_cost_ada,margin_percent,saturation_level
,pool143d6z506u6yfufgzrtx8ywcwx3j4s29lxv5tdugcpcwk2l83gck,70026856.173219,0.0,0.0,340.0,5.0,91.70500246093836
UTA,pool1sdare7xfd6tmak8ghek7kwgpgj6xzu0reppmw4t46rmcs0h6vr2,70026658.593614,0.0,0.0,340.0,5.0,91.70474371680571
N/A,pool1tn7rcvc5lln8frln5n9rfd9cg8kcrj4vlm3ycdquyx5s2mlhmtk,70025628.747633,0.0,0.0,340.0,5.0,91.7033950623982
N/A,pool1fxra32qureulvqrhrdpnrl5yechhqreg2khrghv3tkl4z66t0rm,70023870.486649,0.0,0.0,340.0,5.0,91.70109249825815
N/A,pool1w7dk7rn0cflzzfr4fqvjpapn0rkz5ksmerx5tgwpm2gtj2gly97,70021918.568941,0.0,0.0,340.0,5.0,91.69853632726894
,pool1qlps2dwr0qd0a7pjqr47apewf2lq42xv03zgentgwv9mspeh57g,70020875.295104,0.0,0.0,340.0,5.0,91.69717008815701
GCN,pool1gk20vlqg7qq868avysckjcjtwyphtjurfwlgra45670ny6r4fww,70020869.304401,0.0,0.0,340.0,5.0,91.69716224291787
FBA,pool16e43yxx4djcvnsunwgrm8tnph0ljrt3p9tnezu3qvtcwzh4zwwa,70019838.592261,0.0,0.0,340.0,5.0,91.69581245421536
BD6,pool1mfyzxyggryp0jhgghvzas7qjdyz2rcfnm5rfq8s9uefvukrlps5,69775178.859503,200.0,2079.669441,340.0,3.0,91.37541364409077
ADAFR,pool1gtphgrdj8sluxm9e7ca2spcwcq2p0dxj9zf5v0yv3gsagzq704n,69741675.437148,3030000.0,3939553.065646,170.0,1.5,91.33153859960905
AICHI,pool1ju8f57hyvaa32tp85r468kuedvmjmcy56f8u9968drea57p50l5,69731182.875098,100000.0,117477.371829,340.0,0.5,91.31779786525082
KILN6,pool1mtuhuh8hkf8am0qzx45y58kll8q83sjh6pwljrflcmw970d82f3,69272077.962022,100.0,3204.956563,340.0,3.0,90.71656828728264
SECUR,pool15yyxtkhz64p7a8cnax9l7u82s9t9hdhyxsa3tdm977qhgpnsuhq,68930296.616669,100000.0,153222.572209,170.0,3.0,90.26898202067703
CLOVR,pool1zkdc6ve9nndk7vxnjlalhqt4hr5h8auz5qzjk7lrjrqtv23yuy5,68575309.017468,101000.0,101417.157711,170.0,1.0,89.80410125296407
QUEEN,pool1ksrg8a964464las0ymw88slrwxkychjz9lh09lqltu5m7nw3pq0,68301927.942518,250000.0,252015.695512,300.0,0.69,89.44608986246199
FAIR,pool1ddg6t2h9kj6lqlec4ncjs945lzj43m3ggrgdhf5sgzhtygpkznz,67216050.235602,100000.0,107283.819465,340.0,0.5,88.02405804171757
ATADA,pool1qqqqqdk4zhsjuxxd8jyvwncf5eucfskz0xjjj64fdmlgj735lr9,67213564.774859,1300000.0,1340017.23465,340.0,1.0,88.02080315929089
1COMM,pool1whmm0hkxunyhxsr6dfjpx2tpvd05qhev820lx9vcmvqa5wjc6nh,66790090.929141,402000.0,406168.170065,340.0,0.8500000000000001,87.46623492381778
NORTH,pool1nz9h4raywm6mu2v8l7htuaqvmn06l3mepuaxynpzlwljsf8txhy,66533585.438204,100000.0,101007.472711,340.0,0.0,87.13032327558619
CRDN2,pool189lsf6c2upyhmrzddyvyfjxxkqnte9pw8aqx7f4cuf85sjxlm02,66495812.930298,100000.0,106980.104263,340.0,2.0,87.08085756885924
1PCT0,pool1gclysx2h7fndj0jdajlmwvqr8q9tzu3rurjknacu0ff954fsg9a,66288760.682527,50000.0,61913.381178,340.0,1.0,86.80970835655683
ANP,pool1qqq0c53vaf5ju0n3fvujmyxwca0yhp65930evw9lngmr5705csz,65930754.97475,350000.0,389126.897892,340.0,0.1,86.34087516730857
PNR39,pool136q98jnwt093qle4ph86vdpuwplg7gyvt20h2nq4m6ksv8xjcuj,65746336.011426,500.0,74039.549581,340.0,1.0,86.09936580347768
ROCKY,pool173mzegwuu0pjcrt60ekelzj5haqr8r5e4e0n45qh9jdz7xm5kh8,65125769.885704,151000.0,166323.960548,340.0,1.9900000000000002,85.28669162107914
ABLE,pool1mt8sdg37f2h3rypyuc77k7vxrjshtvjw04zdjlae9vdzyt9uu34,65023180.87041,5000.0,13207.839428,170.0,0.0,85.15234422332176
LBF3,pool1cunvnkjkzh2lna593sjmkylcr3r5rmxdpr8r9u6pfuer72p24x4,65019303.558645,2.0,9.610306,170.0,6.0,85.14726661589539
ONYX,pool1tdvqgy6mq7lx7d345e276xmgmhh3s4zj8dzu6xzq5m7rx4tzkg2,64988001.858644,250000.0,250458.521848,170.0,1.0,85.10627487883207
KILN0,pool10rdglgh4pzvkf936p2m669qzarr9dusrhmmz9nultm3uvq4eh5k,64753920.370125,100.0,5098.649937,340.0,5.0,84.79972900980725
POLY,pool1k0ucs0fau2vhr3p7qh7mnpfgrllwwda7petxjz2gzzaxkyp8f88,64649703.675887,1000000.0,1102043.258595,170.0,0.8999999999999999,84.66325005410596
dtDn,pool13hxlxd6qa68fmfhrvvmasa0mjg30tj9p5v2lmgmgsmrp2rgzkfp,64470308.644255,215000.0,232814.067768,170.0,0.0,84.42831987565272
RSTK,pool1zgxvcqf0dvh0ze56ev2ayjvuex3zdd3hgxzdrcezkx497mv3l7s,64454391.800771,1000.0,1500.297861,400.0,4.0,84.40747567029156
BRAVO,pool12z39rkzfylvn9wfe8j6x9ucq6g2l4mw4azj70y0gd8ejczznyj3,64354086.475993,310000.0,363363.521885,340.0,1.5,84.27611892291942
IOGP,pool1gpzkwf3ntp7ky6yvyky8q6qu4dyup5y6v4pxzn56yut8sqp6k53,64334858.264207,64000000.0,64328594.406327,500.0,100.0,84.25093825216658
IOGP,pool1nee5kmpzv0qfz7lu258fe9ylgxh68lsqqdmjgw7jnheej3usn35,64329845.67267,64000000.0,64328596.815617,500.0,100.0,84.24437391750475
IOGP,pool155efqn9xpcf73pphkk88cmlkdwx4ulkg606tne970qswczg3asc,64328993.066951,64000000.0,64328594.406327,500.0,100.0,84.24325737145611
1LOVE,pool1ft4xjlz9uw0r0ewcgtkgeakqrfc5azxmxwsm5pt94dv67mw4rgd,64278342.411704,712000.0,814839.033385,340.0,1.0,84.17692684174357
IFS1,pool1vkc0dvuf8rxrch87umfayacgglrh8f88ef0f64xrdue5u2xjwfm,63582768.598617,0.0,0.0,345.0,10.0,83.2660249145869
OCTAS,pool1z5uqdk7dzdxaae5633fqfcu2eqzy3a3rgtuvy087fdld7yws0xt,62614247.636621,50000.0,513275.720017,340.0,0.8999999999999999,81.99767985303491
BD3,pool1ff2hr0sukqqd75jr2rh3wrmnesxqgpq42dgd6rm3ungnqp904ue,62501670.349246,200.0,4260.186877,340.0,8.0,81.85025212344738
STR8,pool1qqqqdktl6pq46td0mwut0qn30g7nlue0sete9wxl0hwsq37wrw8,62413971.430911,650000.0,651485.984057,170.0,2.0,81.73540433559525
THNDR,pool1jakl9kqhx87ywc7fcxweaxvna9khxhzyh6v8j70u6zpaxa45ghh,62375457.301423,100.0,155464.351309,170.0,100.0,81.68496742420885
ATAD2,pool19w5khsnmu27au0kprw0kjm8jr7knneysj7lfkqvnu66hyz0jxsx,61806707.375803,1300000.0,1350464.974458,340.0,1.0,80.94015013297383
BLC,pool13k6tphjfsgqdq7h27p4x86ruchcdg2x073luw8pndh3ajxvwvja,61474659.625101,1000.0,3094.041046,340.0,1.0,80.50531068052213
DAPP,pool1qakys0fxx5p2fxcnsc2tyjpqa88q7qgtdh5t3a32hplv6fg25r9,61107197.295251,1000.0,5532.198181,340.0,2.5,80.02409339183163
KKS,pool1lnr8t7pxvq3vfg8c5lc7yjcq39haws4ntu28xpxzx4zyya9ntny,60985273.806758,0.0,0.0,345.0,3.0,79.86442616666535
N/A,pool1j6xfryctrxm4aplw3vnrtgfsvqdr35exenxqse5kzxmfue7qqmr,60393970.717299,0.0,18799.737308,340.0,3.0,79.0900739504261
TW001,pool1gaztx97t53k47fr7282d70tje8323vvzx8pshgts30t9krw62tm,60149724.16739,100.0,5936.282178,340.0,10.0,78.77021623176636
DIGI,pool1rvng7n968748udkc5rxy4h9zp9hms4s3jsfwuues76ft28uc056,59974782.262061,200000.0,200026.444394,340.0,2.0,78.54111772962837
YORO1,pool192pfftt48zc4x5aellvpufk6l6zxllpldw0rx82vrhqrqfhhqs2,59687708.772517,500.0,21585.062044,170.0,1.5,78.16517517695996
CRDN1,pool1ukeqarukv9gxwy9pt8jkr4qvad2yf87758g3xzemmvmtk8lrynp,59051084.744235,100000.0,106838.091512,340.0,2.0,77.33147206260223
EDEN,pool103455uc7a3477q8pdmzvny884qtlv9vhm2csxvqx2cadwuk36sq,58287891.434595,1000.0,1094.142715,340.0,1.0,76.33201773659933
WFFL,pool1tmt8thfaqeqv499l3s7k5kl64s84nycvnx55ll3ksm9hq50p0ks,58238646.722433,850000.0,911914.421594,340.0,2.0,76.26752838641582
1PCT2,pool1z7n2ruhmxmv77f6cqhd3wsy6774h2wuay77agxuf2y9mj8q55vw,58229677.840494,50000.0,61553.543084,340.0,1.0,76.25578301635018
EVE1,pool1uj4u73qgtprqre78q75fq2vkcrpfrcdreqcqkvn6u0m2k6nk2yp,57281459.061938,1000.0,1500.045366,400.0,4.0,75.01402506557355
ST3AK,pool17ahr5ygy48vpdfnatqn2z4wfu2te4quapk2yx3k50ce6kd7feg0,57246037.109389,2789000.0,2933297.888739,170.0,1.9900000000000002,74.96763757335711
,pool1fd0q9h8974y6psejmzczlywy8fgxxy07rn2ynrwu734aqwq540p,56988694.458631,0.0,0.0,345.0,10.0,74.63062960654663
SMAUG,pool14wk2m2af7y4gk5uzlsmsunn7d9ppldvcxxa5an9r5ywek8330fg,56753657.268466,1000000.0,1046327.309516,170.0,2.9899999999999998,74.32283218023954
ETO9,pool16eua0zalaln7q0s9u7jzlyygqad0pu2l2qdxx8r8ueqrw2jdhqf,56629365.076743,0.0,0.0,340.0,100.0,74.1600629746702
TOKAI,pool1cf7mqj0xd8z4jqhr7nf565mxuvepk8euv5t6ehmuwe49kfz9llr,56262590.137827,100000.0,116907.052062,340.0,0.5,73.67974587186178
OCEA4,pool1ell3xjtspzzz4vtsatscan6rheltf7j3hh2s8qsam2h3jvcxzm9,55573039.998466,10000.0,10099.809595,500.0,3.9,72.77673236129347
N/A,pool1u2fuz3fn5dfphf0cu0sewm4rnera445avenggle9sl4hy7rjzgv,55446401.799247,0.0,0.0,340.0,5.0,72.61089089695155
PAUL1,pool1s6se64qce5rjjjhh6ufcdnc54p8qg78mlhjm38lymx99sqysvzx,55180014.916242,100000.0,100115.395903,340.0,3.0,72.2620388836453
MS4,pool1wpmjtfqcwvtcs9znpuulk99yk2zz6pfh0c4k9f2xlcspgqjndk2,55163982.354938,100000.0,103011.363573,340.0,2.5,72.24104313781028
ADAOZ,pool1vev8z03vh7jwx3mfrgzrt9fltt97nupaxv8ffj4r5r8mgwts5ze,55081782.956463,60000.0,89717.392658,340.0,1.0,72.13339735087403
,pool1398lzhvtaa0hgz305d2jz4urfkwkkt66yv476wqe6att2f7dphh,54244569.940363,0.0,4.041914,340.0,10.0,71.03700910931332
CROW,pool1pp7tn2w6ken4rpfcjwcdup3g4m5gcdhc9lgvrm3mnxz5stmrhq2,54143391.784943,100000.0,103173.151788,340.0,3.9899999999999998,70.90450932995964
EDEN,pool1cmaafeyy52ppz62jqmsm20c5p8nua7xx95lkkf96ktmqqj3w5td,53944758.130778,1000.0,1094.747321,340.0,1.0,70.64438484716166
,pool18xu4fh88v4naq5u3x9ya5aevfkrfd7a8a4gw6sejdvjnsrpud2a,53715625.358842,0.0,53715625.358842,340.0,100.0,70.3443196641368
,pool1up53z2kadt6l5xs359ckx477rpyvyg3favh25qrhqt2ujclpq3h,53446369.925513,10000.0,14714.554878,340.0,1.0,69.99171108615097
ECO,pool1wt0pf4u2xktp0f7apveu242w6nkm4ltk3m8g039lvuhwq4zdtf3,53368424.806088,111000.0,114041.336229,340.0,2.1999999999999997,69.88963657132473
AOS,pool1a23gmvalpdams9d42t7fur8vmknzjv7wd3nsvuvrc7dv66lnau0,52588350.828592,350000.0,381748.181541,340.0,2.5,68.86807584540794
N/A,pool1y6gnk7t3n6rvpr67f68mehxgqs5x24n0esz9l5j7m4aqzn4e0qw,52470811.250699,0.0,18106.820573,340.0,3.0,68.7141496538155
EVRST,pool14skj6e4rpjanzclx3fc880xnl8xafgg63tmw93t9xspvwx985qu,52450584.954883,1000.0,1500.485116,400.0,4.0,68.68766192312266
,pool1q8x5k5wq6zsshdjcmyzcgzwaqd9mfg9fypaaew8xs597svmeyk4,52366956.299052,0.0,52366956.299052,340.0,100.0,68.57814442501
,pool1tpr44v3pxth9j0ff246dvsryxpanxwx52f024ws3ecvn72sgv55,52351805.816207,1000.0,4273.55177,170.0,0.0,68.5583038218113
N/A,pool1yh7ksvg54nger73ldnf22cgwyh0dnm4aerahdd0kdukjqeacy32,52063286.611814,0.0,0.0,340.0,5.0,68.18046800574325
0AAAA,pool193uec04jldvah7r52q86wl033g4v42x0aste8jfg9999qepaxfp,51966562.266306,50000.0,51080.465247,170.0,1.0,68.05380079793797
N/A,pool147tju4482jtl253lgqq88fkefdugcuhaumf8m0rcj8uzxu846qm,51964204.346747,0.0,0.0,340.0,5.0,68.05071293949653
N/A,pool1wvaj307ee8jfewv9qjtgk0q3elmpe5lz4n2dec2303062f7dc4c,51561974.122741,0.0,0.0,340.0,5.0,67.52396469320813
APOP,pool1dxwgzj66pual956mnv9delkelg873yvgr2dd8s279m0hxqvr475,51455521.470546,1000000.0,1051713.029954,340.0,1.0,67.38455759620282
,pool1z9m2kxeat06t30yf6ar7sqpert0cjdgxzcv2dv36dcwcqcqtgk4,51210873.379272,0.0,0.0,340.0,10.0,67.06417403140522
TZD,pool13s5faca3kkg6jhqcll8xd9tarur3zkhalyuu92d5g87zyj4wrrc,51009147.179512,0.0,0.0,340.0,5.0,66.79999964665679
EVE2,pool1ng3vqzrhn3z45yjdscv3q37n26g2pj3vp99rfkgv6225y8lqg8j,50551315.215578,1000.0,1500.455478,400.0,4.0,66.20043708346806
SECUR,pool13qdkwy5y88ncr5qpjrh8hgtf94d0zw4wuhgezjg3hvlyyrh37c7,50468012.196253,100000.0,102487.133384,170.0,3.0,66.0913460288403
N/A,pool1q5q3rld4nll02w8sqhf9582jcf22t99yt27z0pqksvpnv4rdra9,50372232.301465,0.0,18149.188513,340.0,3.0,65.96591564445299
,pool1du3r4a7xq60hg2x0wcz7lw5ya3qs74rk258c8kanp93rsqdqu45,50303065.75934,100000.0,215033.585861,340.0,0.0,65.87533728262996
CCV,pool1sjwdmeme5zs042jzwmdvxshhv27kepxke0mr02f2yzacsyd4wtu,50028778.254412,20000.0,20085.412016,340.0,3.0,65.5161388594963
ETO10,pool19l206haluae6wyzm7tjpt3gln9paa5m9s4fedec2u09fqz300ht,50006996.286899,0.0,0.0,340.0,100.0,65.4876138693205
ETO6,pool1wdujj7tmux5nuwnpeksgncendr3mj8ecsjcddpzx9gewc3flp4r,50000428.166808,0.0,0.0,340.0,100.0,65.47901246263133
ETO11,pool1jzk8rwf2fs5l02dmm6pm5tnw9stmd8jpmvsy54085vu2u2656re,50000339.790355,0.0,0.0,340.0,100.0,65.47889672756507
ETO5,pool1dzdxps32uqhva9q9urx4lm7m0nhlczjjccwy9kv4t2d3krsn4m7,50000279.233524,0.0,0.0,340.0,100.0,65.47881742421434
