Analysis based on performance in epochs 548 to 583 (36 epochs).
Current stake is measured at the end of epoch 583.

================================================================================================================================================================
                                               Comprehensive Report on All Non-Retired Pools by Viability Status                                                
================================================================================================================================================================
+------+----------+----------------------------------------------------------+-----------------------+------------------+----------------+------------------+-------------------+----------------+
|    # | Ticker   | Pool ID                                                  |   Current Stake (ADA) | Status           |   Signal Count |   Blocks (36 ep) |   Rewards** (36 ep) | Signals      |
|------+----------+----------------------------------------------------------+-----------------------+------------------+----------------+------------------+-------------------+----------------|
|    1 | P2P      | pool1c2wf97p3j9gfvfjshj99ufxerpy3aznm8tzr2fd0ua465s26th4 |        123,141,995.81 | Healthy          |              0 |             1990 |         20,605.11 |                |
|    2 | LBF2     | pool1f2wfjqkf2wx6jq93pdck6hgmy9zgw32lmvrq9zejl7scqxjqfze |        107,807,455.50 | Healthy          |              0 |             2705 |         61,822.62 |                |
|    3 | qzsbu    | pool13h08lf24fjmxxg0mmuattjv8dvy0r6fc4hrqg4qmj38xsweexrv |        107,067,912.60 | Healthy          |              0 |             1072 |         35,462.54 |                |
|    4 | N/A      | pool12m7z9p7jqymxrvvp6z7vmfdu6j6u6y43p0m6y4xalz43sc8s4t9 |         83,290,503.26 | Healthy          |              1 |             2537 |         54,900.45 | NU             |
|    5 | NORTH    | pool1k633phcvz2hjhj45evwwau4w576jpq83acg5h84w23jauqu56cw |         79,342,001.56 | Healthy          |              0 |             2800 |         14,015.64 |                |
|    6 | ADV3     | pool1ahazpr2yz5gljk2m4q8g7wnmq7m2sr9unhdfmr5arhqrjnntwdz |         76,906,592.18 | Healthy          |              1 |             2607 |         15,688.38 | NU             |
|    7 | OGAM     | pool18ufrgfgmslekdxnk9v9345qvhrr7vfgzkvneqtwm7unnwaht6ww |         76,306,307.83 | Healthy          |              1 |             2829 |         12,911.29 | NU             |
|    8 | FIKA     | pool17s3mr9c4ejjfq20dz0ls9ggskc770kt267s9xmw93payzdswwgg |         76,227,440.40 | Healthy          |              0 |             2237 |         28,061.33 |                |
|    9 | CH1      | pool14cq4fchmmqjygwjw4zexmqqd6a7caxptjnvseyu6wanjuppv4vk |         76,114,530.07 | Healthy          |              0 |             2799 |         69,817.21 |                |
|   10 | CAG      | pool1nqheyct9a0mxn80cwp9pd5guncfu3rzwqtmru0l94accz7gjcgl |         76,103,783.67 | Healthy          |              0 |             2463 |        525,378.87 |                |
|   11 | NORTH    | pool12t3zmafwjqms7cuun86uwc8se4na07r3e5xswe86u37djr5f0lx |         75,745,500.88 | Healthy          |              0 |             2866 |         15,294.38 |                |
|   12 | ADALO    | pool1ekcsyzwexl7p2kwxxh34hy28l6772vrmff7jwmuxsa6u6fzty9z |         75,732,602.96 | Healthy          |              0 |             2796 |         19,479.32 |                |
|   13 | BLADE    | pool16ajaae2n5lsyr4f9k9uz5y8tpf0996tw640dzu7chwp2wdrnz6a |         75,453,296.29 | Healthy          |              0 |             2779 |         13,236.42 |                |
|   14 | KILN7    | pool1aqg8vxzv75zhjzjjd9s20fu6r0xz70yl8lk3teacwy7qyc2p2j7 |         75,431,990.63 | Healthy          |              1 |             2655 |         39,508.20 | NU             |
|   15 |          | pool1r9fpxs4kcn80kylsjxs8tg3p50nk2s66qerfqtw4x70n5740nj9 |         75,200,798.78 | Healthy          |              2 |             2749 |      1,207,873.42 | NU, NG         |
|   16 | KILN6    | pool1mtuhuh8hkf8am0qzx45y58kll8q83sjh6pwljrflcmw970d82f3 |         75,155,556.85 | Healthy          |              1 |             2393 |         36,781.06 | NU             |
|   17 |          | pool1kmmahq4upmm5j8fkh3xa9vd7gdffkp8pd4axucfh4w4dw549yqe |         75,124,686.64 | Healthy          |              2 |             2781 |      1,214,202.67 | NU, NG         |
|   18 | STAT     | pool1w7c2j0px43jmudhf48ezp7dy8j7904c9l3wc7809lhh2z026hch |         75,059,170.06 | Healthy          |              1 |             2638 |         40,103.95 | NU             |
|   19 | KILN2    | pool1v62c7d92xv6gyh4x9rhfpkwzlpw2ypxk92xvzavakg3xypatklv |         75,039,164.91 | Healthy          |              1 |             2780 |         40,834.41 | NU             |
|   20 | ADAFR    | pool1gtphgrdj8sluxm9e7ca2spcwcq2p0dxj9zf5v0yv3gsagzq704n |         74,956,978.04 | Healthy          |              2 |             2444 |         67,777.62 | NU, NG         |
|   21 | WPBJ3    | pool1ljqjqskd4f4zekzddw204u5xtzhyz2cllq5v5dmn27zdwf9c70f |         74,818,421.93 | Healthy          |              1 |             2752 |      1,031,921.18 | NU             |
|   22 | KILN3    | pool1mtxmk0skqkr5y0wxnxps4n35j6wn9q8dfr82y423vvlp53vccux |         74,798,493.84 | Healthy          |              1 |             2777 |         40,905.44 | NU             |
|   23 | KILN4    | pool10d6mmw3mn9ku3r7uqqye672dz3sv76lh5kvh5rdpr9l5ug5yknr |         74,640,050.69 | Healthy          |              1 |             2596 |         56,575.28 | NU             |
|   24 | WPBJ1    | pool155p7g23vdme50kp5lfqylfx5h7ndldyz2mletvr8fqucqzyrk44 |         74,610,258.18 | Healthy          |              1 |             2697 |        838,961.74 | NU             |
|   25 | KILN1    | pool1fcp4d2pxh0e7q5ju63sjqcdpxpr3pvxg6ykl23t6c97d7dnvjvw |         74,494,268.78 | Healthy          |              1 |             2711 |         40,179.90 | NU             |
|   26 | PILOT    | pool1eqa7kxx4xg35cu4rqj4exkvzhenscgh8wxez0gl7hsagygp79kr |         74,412,155.81 | Healthy          |              2 |             2715 |         25,561.21 | NU, NG         |
|   27 |          | pool1w4cetqsly2cz9fq2te95tnk2r56mh6ew6dmpyfctv2ldv8xuj9g |         74,123,957.92 | Healthy          |              1 |             2653 |        997,124.83 | NU             |
|   28 |          | pool1kphkk90f2mculhcndpdd3a7ukvptzqrgyr9jtuvw6c5z2dptuph |         74,033,163.49 | Healthy          |              0 |             2494 |      1,096,043.85 |                |
|   29 |          | pool1ntlyr9hrrdg3gpdkmr267hq46ys2rlj5y25dzx3reuecgd7p5sh |         74,033,094.16 | Healthy          |              0 |             2407 |      1,051,235.70 |                |
|   30 |          | pool1cxjqg6nn588ura2rx4uptwprgzw82j89j2gjguwhtun4ypw2sh4 |         74,029,825.84 | Healthy          |              0 |             2444 |      1,065,600.40 |                |
|   31 |          | pool1a5ld0eulnjxwpg6qyjs6hxzqwj0esft7k0qsf6nj8pkfxy5lml3 |         74,029,304.01 | Healthy          |              0 |              997 |        403,900.31 |                |
|   32 |          | pool1yyar66t9fw9dscj8huhredgwplcnf22zq7q7vugur0t5c9nzt97 |         74,027,432.74 | Healthy          |              0 |             2008 |        868,730.86 |                |
|   33 | WPBJ2    | pool1l0m820vyqh5pp2yzpw973qzz23neqqd977u0uczh9fs9zqvg0je |         73,781,803.95 | Healthy          |              1 |             2752 |        928,218.14 | NU             |
|   34 | MARAC    | pool16f95up5u5lyqne5mnxmlhe0rgdgmya27mph288r6gw0ukegjffa |         73,771,273.87 | Healthy          |              0 |             1781 |          6,916.60 |                |
|   35 | N/A      | pool197na7w0h8hjc8wdvwys7nsalhtpctefa3m23udeqxpfk6nzq8l9 |         73,301,125.22 | Healthy          |              1 |             1231 |         18,342.62 | NG             |
|   36 | ADV      | pool1xytvsd9qnvqxpthh9p8k85e823trvn3npxeur8kr9zhkqz5uls9 |         73,172,900.59 | Healthy          |              1 |             2731 |         15,852.31 | NU             |
|   37 | SPIRE    | pool16agnvfan65ypnswgg6rml52lqtcqe5guxltexkn82sqgj2crqtx |         73,070,916.49 | Healthy          |              0 |             2757 |         40,651.46 |                |
|   38 | BALNC    | pool15s7w4spg5ee7n7rprhs0dq78plw2mhjkpu5v97uvl27gz2way7z |         73,055,719.03 | Healthy          |              0 |             2697 |          8,116.26 |                |
|   39 |          | pool18xu4fh88v4naq5u3x9ya5aevfkrfd7a8a4gw6sejdvjnsrpud2a |         73,025,145.53 | Healthy          |              0 |             1627 |        563,584.44 |                |
|   40 | ADV2     | pool18vej0s9gska8c847aj95g9v24duuxg2g63d5cuqngnxew643jw9 |         72,680,521.97 | Healthy          |              1 |             2670 |         15,769.60 | NU             |
|   41 | WAV1     | pool1axzm26vduyuxgw0x9ddh4vkvn7q5hyd558l0t9c08p556lf2zaj |         72,625,741.81 | Healthy          |              0 |             2721 |        561,872.72 |                |
|   42 | KILN0    | pool10rdglgh4pzvkf936p2m669qzarr9dusrhmmz9nultm3uvq4eh5k |         72,510,944.32 | Healthy          |              1 |             2779 |         59,406.94 | NU             |
|   43 | NORTH    | pool17rjst78s67lvellg8s586rf076jxa3wnsdz730f4xk2zwuhrtej |         72,373,111.61 | Healthy          |              0 |             2724 |         16,446.76 |                |
|   44 | POLY     | pool1k0ucs0fau2vhr3p7qh7mnpfgrllwwda7petxjz2gzzaxkyp8f88 |         72,336,051.94 | Healthy          |              0 |             2724 |         23,970.48 |                |
|   45 | CRDNS    | pool1vx9tzlkgafernd9vpjpxkenutx2gncj4yn88fpq69823qlwcqrt |         72,005,340.36 | Healthy          |              1 |             2802 |         34,116.95 | NU             |
|   46 |          | pool1r99a6puhdv2xzcfw05jjqvks3xhmy2l4wsndx9hmhudvu4yevz5 |         71,958,196.72 | Healthy          |              1 |             2718 |      1,171,020.65 | NU             |
|   47 |          | pool1yafxktvszg85t5m20l8q8sufgcae6cxlk8cx96wrt8cdva7aknf |         71,894,247.78 | Healthy          |              1 |             2698 |      1,157,740.93 | NU             |
|   48 | LCP      | pool1hnp560z9e5acwux8tjguxq36j9r255zuf02u7z2d46dvcf5zhns |         71,867,791.63 | Healthy          |              1 |             1990 |         10,683.06 | NU             |
|   49 |          | pool1vhz87537anw4u0ruqsyuftyh7zxnrxptr4nnv0m6mjgeu8kp83z |         71,853,896.75 | Healthy          |              1 |             2629 |      1,127,880.76 | NU             |
|   50 | CAFE     | pool1tdsrw0n33gmy0mzh7cgtn9p0jy5xwjxaa2s26gn2ewf8kg4nrzx |         71,776,263.66 | Healthy          |              2 |             2479 |         22,428.92 | NU, NG         |
|   51 | GMO1     | pool1457cnl7qu568h98xrw8krfnjkhf05mfhaq2l50epwy36yuln20q |         71,137,512.56 | Healthy          |              0 |             2641 |        595,300.55 |                |
|   52 | DARK     | pool13c9mnvfx4nvwvkszxcprwlv60fh3tteef50hhhv9yxptsua2v70 |         71,069,155.60 | Healthy          |              1 |             2669 |      1,141,517.14 | NU             |
|   53 | TITAN    | pool1qqqqpanw9zc0rzh0yp247nzf2s35uvnsm7aaesfl2nnejaev0uc |         70,798,635.75 | Healthy          |              1 |             2279 |         17,147.48 | NU             |
|   54 | CLOVR    | pool1zkdc6ve9nndk7vxnjlalhqt4hr5h8auz5qzjk7lrjrqtv23yuy5 |         70,661,316.98 | Healthy          |              1 |             2543 |         16,245.27 | NG             |
|   55 | KOH      | pool1fl20ddkpvnstlx63fal6e3ku46r76nk2s4mqtk5jnyxn2vt7hg6 |         70,529,803.93 | Healthy          |              1 |             2633 |         57,219.99 | NU             |
|   56 | SNAKE    | pool1xs34q2z06a46nk7hl48d27dj5gzc6hh9trugw2ehs9ajsevqffx |         70,336,328.72 | Healthy          |              0 |             2496 |          6,607.44 |                |
|   57 | UBE      | pool1j276s043qh2knv3ukmap6sra6sk7p5khuetzwx9h43wqydzsx8c |         70,334,859.46 | Healthy          |              1 |             2646 |         57,133.75 | NU             |
|   58 | WGM      | pool1xed948ze4guhrkt9zxjmecjvgkvgf8gd8skkzgtacz6gsyk9m5c |         70,320,532.71 | Healthy          |              1 |             2637 |         57,288.13 | NU             |
|   59 | TBG      | pool1edqwpnln3zr9gj9sfsmyl72pen6hdwev07xgqj7uz5mkjrgfj6h |         70,201,007.61 | Healthy          |              1 |             2528 |         55,345.88 | NU             |
|   60 | ARH      | pool14xq8v9s80ut6vmwp93tzhlydhsdqhxk3e9jerl2kl7hm2dq6pru |         70,189,319.08 | Healthy          |              1 |             2555 |         55,769.45 | NU             |
|   61 | FVG      | pool1vcwsfldh4gkzga4mc6p86y0vytkqfm9e2dy44hs00v34yeqnfaf |         70,071,495.73 | Healthy          |              1 |             2619 |         56,915.54 | NU             |
|   62 | LAG      | pool1fqas6yd8n3fdpz8e869qjvyensdmzletqjexcut8mxasu2sk72r |         70,049,765.38 | Healthy          |              1 |             2620 |         56,753.81 | NU             |
|   63 | SBP1     | pool18gk8kvd9qf829nldqus92q9y640e6u0jdyfz04mmktwxvglgt06 |         70,043,469.52 | Healthy          |              1 |             2303 |        785,071.26 | NU             |
|   64 | EGH      | pool1qc05c76autq4235sq20zu4vjwtl5m0xn4mxq9kg6e66uwz95kd4 |         70,037,528.24 | Healthy          |              1 |             2427 |         53,330.26 | NU             |
|   65 | TLK      | pool1lev7ygxcqd4aw5em7wf7y64au4hv04yl5cew27lkjmgngj46vqk |         70,036,271.25 | Healthy          |              1 |             2583 |         56,185.12 | NU             |
|   66 | N/A      | pool1fxra32qureulvqrhrdpnrl5yechhqreg2khrghv3tkl4z66t0rm |         70,030,690.51 | Healthy          |              1 |             2629 |         56,887.06 | NU             |
|   67 |          | pool1qlps2dwr0qd0a7pjqr47apewf2lq42xv03zgentgwv9mspeh57g |         70,030,032.38 | Healthy          |              1 |             2535 |         55,374.66 | NU             |
|   68 | UTA      | pool1sdare7xfd6tmak8ghek7kwgpgj6xzu0reppmw4t46rmcs0h6vr2 |         70,026,505.95 | Healthy          |              1 |             2600 |         56,397.32 | NU             |
|   69 | N/A      | pool1w7dk7rn0cflzzfr4fqvjpapn0rkz5ksmerx5tgwpm2gtj2gly97 |         70,026,231.02 | Healthy          |              1 |             2592 |         56,443.93 | NU             |
|   70 | N/A      | pool1tn7rcvc5lln8frln5n9rfd9cg8kcrj4vlm3ycdquyx5s2mlhmtk |         70,025,441.68 | Healthy          |              1 |             2709 |         58,454.79 | NU             |
|   71 |          | pool104z3yr7faqhck6wcsczhmqrrpdeparcr8juw8unxy8tm6xp447d |         70,025,130.12 | Healthy          |              1 |             2645 |         57,249.36 | NU             |
|   72 | N/A      | pool1s8347yjgmfguf0ynj69euw7r75w7usdrfheckpcrjrk2yfvnpwq |         70,024,795.91 | Healthy          |              1 |             2681 |         57,904.88 | NU             |
|   73 | RMH      | pool17arsgklktp9sayk5kzaakwvl3jwyczp07guux2yd0upgqh04qjl |         70,024,295.57 | Healthy          |              1 |             2717 |         58,531.06 | NU             |
|   74 |          | pool143d6z506u6yfufgzrtx8ywcwx3j4s29lxv5tdugcpcwk2l83gck |         70,023,748.02 | Healthy          |              1 |             2554 |         55,879.38 | NU             |
|   75 | FBA      | pool16e43yxx4djcvnsunwgrm8tnph0ljrt3p9tnezu3qvtcwzh4zwwa |         70,022,147.34 | Healthy          |              1 |             2607 |         56,757.47 | NU             |
|   76 | FMD      | pool1njjr0zn7uvydjy8067nprgwlyxqnznp9wgllfnag24nycgkda25 |         70,021,242.36 | Healthy          |              1 |             2601 |         56,659.61 | NU             |
|   77 | BD0      | pool1t6ek99u2dzj8sr606uqm3uz0tt4ejr4cpvwtqfwen6p2z57rrst |         70,017,529.36 | Healthy          |              1 |             2243 |         72,646.82 | NU             |
|   78 | GCN      | pool1gk20vlqg7qq868avysckjcjtwyphtjurfwlgra45670ny6r4fww |         69,744,068.68 | Healthy          |              1 |             2548 |         55,441.68 | NU             |
|   79 | BD6      | pool1mfyzxyggryp0jhgghvzas7qjdyz2rcfnm5rfq8s9uefvukrlps5 |         69,654,133.86 | Healthy          |              1 |             2625 |         39,356.83 | NU             |
|   80 | NORTH    | pool1nz9h4raywm6mu2v8l7htuaqvmn06l3mepuaxynpzlwljsf8txhy |         69,318,712.39 | Healthy          |              0 |             2507 |         14,417.23 |                |
|   81 | EMUR8    | pool1pmm654jfx088td54ekkkd0j28x6r5gnjdhnutzggursrxjnpk2y |         69,308,414.94 | Healthy          |              2 |             2701 |         20,618.10 | NU, NG         |
|   82 | NORTH    | pool1lfvzgsrghmugvpym868mh29288ez0nncz680mamzjygu2jpuwcd |         69,266,724.65 | Healthy          |              0 |             2736 |         16,159.78 |                |
|   83 | BRAVO    | pool12z39rkzfylvn9wfe8j6x9ucq6g2l4mw4azj70y0gd8ejczznyj3 |         69,060,280.66 | Healthy          |              1 |             2630 |         30,159.16 | NU             |
|   84 | SECUR    | pool15yyxtkhz64p7a8cnax9l7u82s9t9hdhyxsa3tdm977qhgpnsuhq |         69,043,975.38 | Healthy          |              0 |             2567 |         34,454.24 |                |
|   85 |          | pool1zgjk3dzwcwd02juqntuzknr368hvxjxy8l8uzkxvgu4252d7ekf |         68,531,513.59 | Healthy          |              0 |             2250 |         29,202.51 |                |
|   86 |          | pool1xsj9s3mfpztls97x7jjql0msmeh5v3wa5vyqhmmmsx8jzsqxrsv |         68,410,321.33 | Healthy          |              1 |             2508 |         38,125.82 | NU             |
|   87 | AICHI    | pool1ju8f57hyvaa32tp85r468kuedvmjmcy56f8u9968drea57p50l5 |         67,847,920.41 | Healthy          |              0 |             2510 |         18,275.60 |                |
|   88 | SECUR    | pool1xjhzgchsl2ccvc5pj3aqytv9hh0jnaz63wtfnw4th07tjypm46x |         67,076,618.32 | Healthy          |              0 |             1937 |         13,701.47 |                |
|   89 | ATADA    | pool1qqqqqdk4zhsjuxxd8jyvwncf5eucfskz0xjjj64fdmlgj735lr9 |         66,988,949.86 | Healthy          |              1 |             2518 |         38,244.45 | NU             |
|   90 | 1PCT0    | pool1gclysx2h7fndj0jdajlmwvqr8q9tzu3rurjknacu0ff954fsg9a |         66,653,632.77 | Healthy          |              1 |             2324 |         21,239.51 | NU             |
|   91 | FAIR     | pool1ddg6t2h9kj6lqlec4ncjs945lzj43m3ggrgdhf5sgzhtygpkznz |         66,648,454.66 | Healthy          |              1 |             2402 |         18,105.40 | NU             |
|   92 | LBF3     | pool1cunvnkjkzh2lna593sjmkylcr3r5rmxdpr8r9u6pfuer72p24x4 |         66,087,815.01 | Healthy          |              0 |             2515 |         62,615.17 |                |
|   93 | 1COMM    | pool1whmm0hkxunyhxsr6dfjpx2tpvd05qhev820lx9vcmvqa5wjc6nh |         66,029,982.22 | Healthy          |              1 |             2345 |         15,113.10 | NG             |
|   94 | PNR39    | pool136q98jnwt093qle4ph86vdpuwplg7gyvt20h2nq4m6ksv8xjcuj |         65,678,569.80 | Healthy          |              2 |             2401 |         21,466.62 | NU, NG         |
|   95 | TITAN    | pool19pyfv4xnln8x4l7auw0n0skk3hd97shun707hrw5d4s553ys74x |         65,606,899.62 | Healthy          |              1 |             2467 |         13,724.49 | NU             |
|   96 | TOKAI    | pool1cf7mqj0xd8z4jqhr7nf565mxuvepk8euv5t6ehmuwe49kfz9llr |         65,597,573.70 | Healthy          |              0 |             1913 |         17,251.15 |                |
|   97 | ROCKY    | pool173mzegwuu0pjcrt60ekelzj5haqr8r5e4e0n45qh9jdz7xm5kh8 |         65,375,395.42 | Healthy          |              1 |             2411 |         30,954.17 | NU             |
|   98 | ONYX     | pool1tdvqgy6mq7lx7d345e276xmgmhh3s4zj8dzu6xzq5m7rx4tzkg2 |         65,123,737.97 | Healthy          |              1 |             2307 |         17,251.88 | NU             |
|   99 | SECUR    | pool1lhz4gsk5ezdl5s4mv2kxgrkhzzhad6me2v0xmwuyt845vensdlc |         64,943,578.33 | Healthy          |              0 |             2487 |         12,313.44 |                |
|  100 | CRDN2    | pool189lsf6c2upyhmrzddyvyfjxxkqnte9pw8aqx7f4cuf85sjxlm02 |         64,927,810.10 | Healthy          |              1 |             2380 |         30,036.18 | NU             |
|  101 | RSTK     | pool1zgxvcqf0dvh0ze56ev2ayjvuex3zdd3hgxzdrcezkx497mv3l7s |         64,774,302.78 | Healthy          |              0 |             2601 |         49,717.14 |                |
|  102 | IOGP     | pool1nee5kmpzv0qfz7lu258fe9ylgxh68lsqqdmjgw7jnheej3usn35 |         64,329,845.67 | Healthy          |              1 |             2477 |      1,035,351.47 | NU             |
|  103 | IOGP     | pool155efqn9xpcf73pphkk88cmlkdwx4ulkg606tne970qswczg3asc |         64,328,993.07 | Healthy          |              1 |             2322 |        971,499.91 | NU             |
|  104 | IOGP     | pool1gpzkwf3ntp7ky6yvyky8q6qu4dyup5y6v4pxzn56yut8sqp6k53 |         64,328,595.41 | Healthy          |              1 |             2389 |        994,107.60 | NU             |
|  105 | STR8     | pool1qqqqdktl6pq46td0mwut0qn30g7nlue0sete9wxl0hwsq37wrw8 |         63,314,608.95 | Healthy          |              0 |             2435 |         30,892.80 |                |
|  106 | IFS1     | pool1vkc0dvuf8rxrch87umfayacgglrh8f88ef0f64xrdue5u2xjwfm |         63,074,280.19 | Healthy          |              1 |             2082 |         81,847.66 | NU             |
|  107 | DIGI     | pool1rvng7n968748udkc5rxy4h9zp9hms4s3jsfwuues76ft28uc056 |         62,692,122.04 | Healthy          |              0 |             2331 |         27,792.63 |                |
|  108 | 1LOVE    | pool1ft4xjlz9uw0r0ewcgtkgeakqrfc5azxmxwsm5pt94dv67mw4rgd |         62,636,396.13 | Healthy          |              1 |             2392 |         30,903.43 | NU             |
|  109 | BD3      | pool1ff2hr0sukqqd75jr2rh3wrmnesxqgpq42dgd6rm3ungnqp904ue |         62,605,097.53 | Healthy          |              1 |             2112 |         69,497.60 | NU             |
|  110 | THNDR    | pool1jakl9kqhx87ywc7fcxweaxvna9khxhzyh6v8j70u6zpaxa45ghh |         62,361,240.81 | Healthy          |              1 |             1392 |        491,003.75 | NU             |
|  111 | ATAD2    | pool19w5khsnmu27au0kprw0kjm8jr7knneysj7lfkqvnu66hyz0jxsx |         62,306,681.14 | Healthy          |              1 |             2239 |         36,793.47 | NU             |
|  112 | OCTAS    | pool1z5uqdk7dzdxaae5633fqfcu2eqzy3a3rgtuvy087fdld7yws0xt |         62,291,579.32 | Healthy          |              0 |             2316 |         25,785.18 |                |
|  113 | ANP      | pool1qqq0c53vaf5ju0n3fvujmyxwca0yhp65930evw9lngmr5705csz |         61,679,415.06 | Healthy          |              1 |             1722 |         19,022.68 | NU             |
|  114 | AUTO     | pool1zz7x8ergn02chznayj9fjds2gk5q6prmpdr49faspd65kzqsrjs |         61,214,255.41 | Healthy          |              1 |             2441 |          6,329.85 | NU             |
|  115 | dtDn     | pool13hxlxd6qa68fmfhrvvmasa0mjg30tj9p5v2lmgmgsmrp2rgzkfp |         61,136,173.79 | Healthy          |              0 |             1985 |          9,062.54 |                |
|  116 | CRDN1    | pool1ukeqarukv9gxwy9pt8jkr4qvad2yf87758g3xzemmvmtk8lrynp |         60,957,310.75 | Healthy          |              1 |             2308 |         29,445.24 | NU             |
|  117 | KKS      | pool1lnr8t7pxvq3vfg8c5lc7yjcq39haws4ntu28xpxzx4zyya9ntny |         60,874,252.09 | Healthy          |              1 |             2221 |         35,212.88 | NU             |
|  118 | DAPP     | pool1qakys0fxx5p2fxcnsc2tyjpqa88q7qgtdh5t3a32hplv6fg25r9 |         60,730,791.71 | Healthy          |              0 |             2253 |         31,579.82 |                |
|  119 | ABLE     | pool1mt8sdg37f2h3rypyuc77k7vxrjshtvjw04zdjlae9vdzyt9uu34 |         60,641,675.93 | Healthy          |              0 |             1781 |          6,418.86 |                |
|  120 | N/A      | pool1j6xfryctrxm4aplw3vnrtgfsvqdr35exenxqse5kzxmfue7qqmr |         60,277,710.30 | Healthy          |              1 |             1078 |         16,948.10 | NG             |
|  121 | EVE1     | pool1uj4u73qgtprqre78q75fq2vkcrpfrcdreqcqkvn6u0m2k6nk2yp |         59,543,562.75 | Healthy          |              0 |             2396 |         47,275.06 |                |
|  122 | ADAOZ    | pool1vev8z03vh7jwx3mfrgzrt9fltt97nupaxv8ffj4r5r8mgwts5ze |         58,093,291.42 | Healthy          |              0 |             2061 |         20,486.52 |                |
|  123 | EDEN     | pool103455uc7a3477q8pdmzvny884qtlv9vhm2csxvqx2cadwuk36sq |         57,727,499.46 | Healthy          |              0 |             2292 |         58,222.15 |                |
|  124 | WFFL     | pool1tmt8thfaqeqv499l3s7k5kl64s84nycvnx55ll3ksm9hq50p0ks |         57,718,397.62 | Healthy          |              1 |             2109 |         37,840.73 | NU             |
|  125 | TW001    | pool1gaztx97t53k47fr7282d70tje8323vvzx8pshgts30t9krw62tm |         57,488,522.46 | Healthy          |              1 |             2031 |         81,259.61 | NU             |
|  126 | BLC      | pool13k6tphjfsgqdq7h27p4x86ruchcdg2x073luw8pndh3ajxvwvja |         56,957,300.17 | Healthy          |              0 |             1696 |         18,303.49 |                |
|  127 | SMAUG    | pool14wk2m2af7y4gk5uzlsmsunn7d9ppldvcxxa5an9r5ywek8330fg |         56,892,217.06 | Healthy          |              0 |             2149 |         40,855.32 |                |
|  128 | ECO      | pool1wt0pf4u2xktp0f7apveu242w6nkm4ltk3m8g039lvuhwq4zdtf3 |         56,870,510.95 | Healthy          |              0 |             2252 |         30,831.76 |                |
|  129 |          | pool1fd0q9h8974y6psejmzczlywy8fgxxy07rn2ynrwu734aqwq540p |         56,656,627.09 | Healthy          |              1 |             1553 |         64,389.01 | NU             |
|  130 | ETO9     | pool16eua0zalaln7q0s9u7jzlyygqad0pu2l2qdxx8r8ueqrw2jdhqf |         56,629,365.08 | Healthy          |              1 |             2014 |        691,663.50 | NU             |
|  131 | 1PCT2    | pool1z7n2ruhmxmv77f6cqhd3wsy6774h2wuay77agxuf2y9mj8q55vw |         56,452,416.77 | Healthy          |              1 |             2111 |         20,542.58 | NU             |
|  132 | YORO1    | pool192pfftt48zc4x5aellvpufk6l6zxllpldw0rx82vrhqrqfhhqs2 |         56,073,381.33 | Healthy          |              0 |             2730 |         20,680.56 |                |
|  133 | CROW     | pool1pp7tn2w6ken4rpfcjwcdup3g4m5gcdhc9lgvrm3mnxz5stmrhq2 |         55,952,515.89 | Healthy          |              1 |             1883 |         39,008.22 | NU             |
|  134 | OCEA4    | pool1ell3xjtspzzz4vtsatscan6rheltf7j3hh2s8qsam2h3jvcxzm9 |         55,770,075.12 | Healthy          |              0 |             2287 |         17,929.04 |                |
|  135 | EDEN     | pool1cmaafeyy52ppz62jqmsm20c5p8nua7xx95lkkf96ktmqqj3w5td |         55,722,324.44 | Healthy          |              0 |             2261 |         64,832.52 |                |
|  136 |          | pool1q8x5k5wq6zsshdjcmyzcgzwaqd9mfg9fypaaew8xs597svmeyk4 |         55,500,822.19 | Healthy          |              1 |             1591 |        540,764.78 | NU             |
|  137 | N/A      | pool1u2fuz3fn5dfphf0cu0sewm4rnera445avenggle9sl4hy7rjzgv |         55,465,926.00 | Healthy          |              1 |             2124 |         48,120.24 | NU             |
|  138 | MS4      | pool1wpmjtfqcwvtcs9znpuulk99yk2zz6pfh0c4k9f2xlcspgqjndk2 |         55,450,390.92 | Healthy          |              1 |             2016 |         30,800.24 | NU             |
|  139 | PAUL1    | pool1s6se64qce5rjjjhh6ufcdnc54p8qg78mlhjm38lymx99sqysvzx |         55,352,241.34 | Healthy          |              1 |             2079 |         34,755.63 | NU             |
|  140 | WAV11    | pool19hrn8me383w9atvmjwukjxqsdvr8udpmyxau956hdc53x669j8p |         55,150,446.85 | Healthy          |              0 |             2244 |        870,342.02 |                |
|  141 | HAPPY    | pool1a8n7f97dmgtgrnl53exccknjdchqxrr9508hlxlgqp6xvjmzhej |         54,929,174.98 | Healthy          |              0 |             2084 |         14,860.41 |                |
|  142 | SECUR    | pool13qdkwy5y88ncr5qpjrh8hgtf94d0zw4wuhgezjg3hvlyyrh37c7 |         54,430,764.60 | Healthy          |              0 |             2356 |         22,664.93 |                |
|  143 | ST3AK    | pool17ahr5ygy48vpdfnatqn2z4wfu2te4quapk2yx3k50ce6kd7feg0 |         53,757,462.25 | Healthy          |              0 |             2058 |         57,223.01 |                |
|  144 |          | pool1up53z2kadt6l5xs359ckx477rpyvyg3favh25qrhqt2ujclpq3h |         53,336,625.46 | Healthy          |              1 |             1968 |         19,351.83 | NU             |
