epoch,stake_range,pool_count,pools_with_blocks,controlled_stake_ada,blocks_produced,operator_rewards_ada,member_rewards_ada,pool_rewards_ada,% of Total Stake,% of Blocks,% of Pool Rewards
578,20M - 30M,105,105,2650017036.72,2564,198348.65,653115.76,851464.41,12.12,12.03,12.14
578,30M - 40M,88,87,3021796861.53,2944,70270.63,887722.29,957992.92,13.82,13.82,13.66
578,40M - 50M,45,45,1999599262.22,1946,26148.41,615607.88,641756.29,9.15,9.13,9.15
578,50M - 60M,34,34,1837974967.11,1764,150276.85,435294.88,585571.73,8.41,8.28,8.35
578,60M - 70M,45,45,2903227556.04,2985,118325.73,891438.33,1009764.06,13.28,14.01,14.4
578,> 70M,78,78,5723782710.32,5573,426684.34,1388639.48,1815323.82,26.19,26.16,25.89
578,--- TOTALS ---,2920,1027,21857567223.31,21305,1278538.71,5734317.38,7012856.1,100.0,100.0,100.0
579,Inactive,1431,0,34429044.19,0,0.0,0.0,0.0,0.16,0.0,0.0
579,< 3M,731,271,554321098.2,507,78511.3,83333.91,161845.2,2.53,2.35,2.29
579,3M - 10M,234,227,1345331247.15,1278,102414.68,310840.5,413255.18,6.14,5.93,5.84
579,10M - 20M,120,119,1752970333.6,1646,90890.53,453256.07,544146.6,8.01,7.64,7.69
579,20M - 30M,107,107,2695890701.99,2732,222086.33,683847.02,905933.36,12.31,12.68,12.8
579,30M - 40M,87,86,2979852209.73,2904,57825.25,890084.16,947909.42,13.61,13.47,13.39
579,40M - 50M,43,43,1918221863.58,1894,30541.27,594868.65,625409.92,8.76,8.79,8.83
579,50M - 60M,38,38,2063947110.1,2023,171063.24,502674.02,673737.26,9.43,9.39,9.52
579,60M - 70M,43,43,2786754718.0,2764,129410.73,804317.72,933728.45,12.73,12.82,13.19
579,> 70M,78,78,5766673380.39,5806,465296.02,1408677.89,1873973.91,26.33,26.94,26.47
579,--- TOTALS ---,2912,1012,21898391706.92,21554,1348039.36,5731899.94,7079939.3,100.0,100.0,100.0
580,Inactive,1434,0,34347576.49,0,0.0,0.0,0.0,0.16,0.0,0.0
580,< 3M,731,276,552146903.0,492,79358.75,76531.28,155890.03,2.52,2.3,2.23
580,3M - 10M,232,223,1326493590.63,1335,118492.63,312732.13,431224.76,6.06,6.25,6.16
580,10M - 20M,122,121,1766523380.69,1731,90004.94,480596.42,570601.36,8.07,8.11,8.16
580,20M - 30M,106,106,2664013572.31,2534,210568.84,625528.44,836097.28,12.17,11.87,11.95
580,30M - 40M,89,88,3045817732.18,2903,60638.85,886158.86,946797.7,13.92,13.6,13.53
580,40M - 50M,42,42,1876514298.84,1885,33484.01,587111.59,620595.6,8.57,8.83,8.87
580,50M - 60M,38,38,2057647138.72,2021,175716.24,495390.89,671107.13,9.4,9.47,9.59
580,60M - 70M,45,45,2929301658.35,2865,117922.75,848351.86,966274.61,13.38,13.42,13.81
580,> 70M,76,76,5634344717.67,5582,458920.32,1338544.63,1797464.95,25.74,26.15,25.69
580,--- TOTALS ---,2915,1015,21887150568.89,21348,1345107.33,5650946.09,6996053.42,100.0,100.0,100.0
581,Inactive,1436,0,33676431.46,0,0.0,0.0,0.0,0.15,0.0,0.0
581,< 3M,731,265,556010937.43,482,75001.38,78768.5,153769.88,2.54,2.26,2.21
581,3M - 10M,231,225,1311671641.27,1175,105288.84,270822.36,376111.2,5.99,5.51,5.39
581,10M - 20M,124,121,1785429228.03,1628,92674.95,442035.21,534710.16,8.16,7.63,7.67
581,20M - 30M,107,107,2698369303.26,2768,235859.94,678686.06,914546.0,12.33,12.98,13.11
581,30M - 40M,87,86,2972845659.93,2999,50320.47,924796.85,975117.32,13.58,14.06,13.98
581,40M - 50M,42,42,1875913911.11,1842,33031.93,572703.04,605734.97,8.57,8.64,8.69
581,50M - 60M,38,38,2051504347.2,1979,163897.99,491162.6,655060.58,9.37,9.28,9.39
581,60M - 70M,44,44,2866965859.41,2771,113342.51,819634.45,932976.97,13.1,12.99,13.38
581,> 70M,77,77,5734718485.98,5680,460870.21,1364432.44,1825302.65,26.2,26.64,26.18
581,--- TOTALS ---,2917,1005,21887105805.09,21324,1330288.23,5643041.5,6973329.73,100.0,100.0,100.0
582,Inactive,1437,0,33637454.45,0,0.0,0.0,0.0,0.15,0.0,0.0
582,< 3M,687,281,555735895.43,521,85244.04,81126.02,166370.05,2.53,2.47,2.41
582,3M - 10M,229,224,1303889465.28,1284,106812.15,308702.49,415514.64,5.94,6.08,6.02
582,10M - 20M,128,123,1853452017.33,1750,97805.05,472233.3,570038.35,8.45,8.28,8.25
582,20M - 30M,106,105,2670828855.27,2629,214262.78,653481.34,867744.12,12.18,12.45,12.56
582,30M - 40M,86,85,2937582678.86,2980,55024.0,916172.52,971196.51,13.39,14.11,14.06
582,40M - 50M,42,42,1893117879.76,1738,32573.26,535729.46,568302.72,8.63,8.23,8.23
582,50M - 60M,39,39,2114036240.82,2070,159927.99,524508.92,684436.91,9.64,9.8,9.91
582,60M - 70M,43,43,2802882978.09,2660,115168.32,784420.73,899589.06,12.78,12.59,13.03
582,> 70M,77,77,5767813508.41,5492,438898.62,1324506.05,1763404.68,26.3,26.0,25.53
582,--- TOTALS ---,2874,1019,21932976973.7,21124,1305716.22,5600880.83,6906597.04,100.0,100.0,100.0
583,Inactive,1437,0,33606627.29,0,0.0,0.0,0.0,0.15,0.0,0.0
583,< 3M,683,274,552895228.77,529,79752.64,86280.71,166033.35,2.53,2.51,2.42
583,3M - 10M,230,227,1307725727.81,1289,106383.62,303964.63,410348.25,5.99,6.11,5.99
